run_id,fmt,code,name,converged,n,p,RSS,R2,AdjR2,RMSE,chi2_red,AIC,AICc,W_AICc,AAD,params,stderr,message,t_b,t_E,t50,q_dyn_mol_per_kg,L_MTZ_m,efficiency
50ml_6g,B,M01,Yoon-Nelson / Thomas / BA (logistic),True,796,2,8.389865823513649,0.9213011343174171,0.9212020173581191,0.10279387939806946,0.010566581641704847,-3619.8494277066984,-3619.8342952981234,9.85967654375977e-305,0.2935700867337546,k_YN=0.000927188;tau=8017.27,k_YN=2.83064e-05;tau=37.972,converged,6741.358620689655,,7328.5,0.0030140835440103843,,0.7651008045779553
50ml_6g,B,M02,Clark,True,796,3,6.031984596118293,0.9434186010223325,0.943275898881153,0.08716052965431094,0.0076065379522298774,-3880.4883946333807,-3880.4580916030777,9.85967654375977e-305,0.28069452709189624,r=0.000593612;A=0.795314;n=1.01,r=3.1735e-05;A=9.35428;n=0.114833,converged,6741.358620689655,,7328.5,0.0030140835440103843,,0.7651008045779553
50ml_6g,B,M03,Fractal Clark,True,796,4,4.728717419141932,0.9556435460532684,0.9554755291822581,0.07717229749190285,0.005970602801946884,-4072.2523623681805,-4072.201793468054,9.85967654375977e-305,0.27725833919612214,r=0.526562;A0=1e+06;n=1.01;h=0.761633,r=2.43727;A0=7.18597e+07;n=0.308332;h=0.501028,converged,6741.358620689655,,7328.5,0.0030140835440103843,,0.7651008045779553
50ml_6g,B,M04,Modified Dose-Response (Yan),True,796,2,6.408175199024519,0.9398898468858607,0.9398141414033493,0.08983735092341982,0.00807074962093768,-3834.3316100811453,-3834.3164776725703,9.85967654375977e-305,0.2972573283217385,a=6.31067;t50=8018.15,a=0.159316;t50=36.1716,converged,6741.358620689655,,7328.5,0.0030140835440103843,,0.7651008045779553
50ml_6g,B,M05,"Wolborska (linearised, early)",True,11,2,9.772168540000001,-457.02411645505026,-507.91568495005583,1.042015597025517,1.0857965044444446,2.6980744045393488,4.198074404539349,9.85967654375977e-305,38.25073465810752,slope=0.0153671;intercept=-50,slope=0;intercept=0,converged,6741.358620689655,,7328.5,0.0030140835440103843,,0.7651008045779553
50ml_6g,B,M06,Gudermannian (Hu 2021),True,796,2,8.212940216741696,0.922960737087718,0.9228637103082314,0.10170424485531092,0.010343753421589039,-3636.8150073703746,-3636.7998749617996,9.85967654375977e-305,0.291210260778523,k=0.000764515;tau=7992.89,k=2.37755e-05;tau=37.5211,converged,6741.358620689655,,7328.5,0.0030140835440103843,,0.7651008045779553
50ml_6g,B,M07,Error-Function (Hu 2021),True,796,2,8.71066441249743,0.9182919699759755,0.9181890631371543,0.10474068021216296,0.010970610091306586,-3589.9806885880557,-3589.9655561794807,9.85967654375977e-305,0.2963811246728161,k=0.000391929;tau=8043.8,k=1.16626e-05;tau=38.4678,converged,6741.358620689655,,7328.5,0.0030140835440103843,,0.7651008045779553
50ml_6g,B,M08,Tanh (Hu 2019),True,796,2,8.389865814213358,0.921301134404656,0.9212020174454679,0.10279387934109518,0.010566581629991635,-3619.8494285890756,-3619.8342961805006,9.85967654375977e-305,0.29356154721337585,k=0.000463661;tau=8017.14,k=1.41565e-05;tau=37.9691,converged,6741.358620689655,,7328.5,0.0030140835440103843,,0.7651008045779553
50ml_6g,B,M09,Log-Normal (Chu-Hashim),True,796,2,6.704552879198778,0.9371097562701111,0.9370305494140281,0.09189135573293469,0.008444021258436749,-3798.3426353899445,-3798.3275029813694,9.85967654375977e-305,0.30374427403967275,a=0.273712;b=8.9962,a=0.00659087;b=0.00465169,converged,6741.358620689655,,7328.5,0.0030140835440103843,,0.7651008045779553
50ml_6g,B,M10,Fractal Gudermannian (Hu 2024),True,796,3,5.073101049292317,0.952413148616336,0.9522931313366798,0.07993307220327706,0.006397353151692708,-4018.29493910052,-4018.264636070217,9.85967654375977e-305,0.2890465622457869,k0=1;tau0=7938.55;h=0.819755,k0=0.780989;tau0=38.3173;h=0.0859914,converged,6741.358620689655,,7328.5,0.0030140835440103843,,0.7651008045779553
