run_id,fmt,code,name,converged,n,p,RSS,R2,AdjR2,RMSE,chi2_red,AIC,AICc,W_AICc,AAD,params,stderr,message,t_b_s,t_E_s,t50_s,q_dyn_mol_per_kg,L_MTZ_m,efficiency
run 8,C,M01,Yoon-Nelson / Thomas / BA (logistic),True,255,2,0.6880456589924349,0.9418500029913011,0.9416201611058912,0.05214928627755739,0.0027195480592586358,-1504.3667240166435,-1504.3191049690245,6.3390171042433485e-261,24.10183119686872,k_YN=0.00393298;tau=347.975,k_YN=0.000155153;tau=10.2564,converged,26.664350693842152,2071.286488771186,245.89112931034487,0.7869812107195803,0.1088838827777458,0.038659872223367045
run 8,C,M02,Clark,True,255,3,0.45053649515208866,0.9619230271959441,0.9616208289990865,0.04219924952745241,0.0017878432347305105,-1610.3378337119416,-1610.2422161820612,6.35233329351264e-238,18.07788698043297,r=0.00290121;A=0.0180663;n=1.01,r=0.000198099;A=0.320724;n=0.176146,converged,26.664350693842152,2071.286488771186,245.89112931034487,0.7869812107195803,0.1088838827777458,0.038659872223367045
run 8,C,M03,Fractal Clark,True,255,4,0.006953243141860629,0.9994123484937147,0.999405324770532,0.00524243974440884,2.7702163911795334e-05,-2672.001711743797,-2671.841711743797,2.1199940465597344e-07,0.20833125935947736,r=0.155687;A0=0.110598;n=1.01;h=0.691162,r=0.0187584;A0=0.848983;n=0.0742722;h=0.0167305,converged,26.664350693842152,2071.286488771186,245.89112931034487,0.7869812107195803,0.1088838827777458,0.038659872223367045
run 8,C,M04,Modified Dose-Response (Yan),True,255,2,0.030323111719678702,0.997437250227876,0.9974271207821364,0.01094779413948167,0.00011985419652046918,-2300.462703035631,-2300.4150839880117,4.699669311934777e-88,0.019852671208010583,a=1.33102;t50=250.401,a=0.00922121;t50=1.95876,converged,26.664350693842152,2071.286488771186,245.89112931034487,0.7869812107195803,0.1088838827777458,0.038659872223367045
run 8,C,M05,"Wolborska (linearised, early)",False,255,2,inf,,,inf,inf,inf,inf,,inf,slope=nan;intercept=nan,slope=nan;intercept=nan,insufficient early-region points,26.664350693842152,2071.286488771186,245.89112931034487,0.7869812107195803,0.1088838827777458,0.038659872223367045
run 8,C,M06,Gudermannian (Hu 2021),True,255,2,0.6531752309982986,0.9447970679964353,0.9445788745893066,0.05081063157082075,0.002581720280625686,-1517.6292127259912,-1517.5815936783722,4.807671163340123e-258,24.795837253792712,k=0.00315854;tau=344.51,k=0.000125043;tau=10.1176,converged,26.664350693842152,2071.286488771186,245.89112931034487,0.7869812107195803,0.1088838827777458,0.038659872223367045
run 8,C,M07,Error-Function (Hu 2021),True,255,2,0.7421689727674666,0.9372757854332283,0.9370278636365217,0.05416155648300668,0.0029334742006619234,-1485.0576796032678,-1485.0100605556488,4.065520954359621e-265,23.172187257858607,k=0.0017079;tau=352.196,k=6.69276e-05;tau=10.4512,converged,26.664350693842152,2071.286488771186,245.89112931034487,0.7869812107195803,0.1088838827777458,0.038659872223367045
run 8,C,M08,Tanh (Hu 2019),True,255,2,0.6880456593705327,0.9418500029593463,0.9416201610738101,0.052149286291886046,0.002719548060753094,-1504.366723876515,-1504.319104828896,6.339016660104641e-261,24.1006347703687,k=0.00196661;tau=347.968,k=7.75825e-05;tau=10.256,converged,26.664350693842152,2071.286488771186,245.89112931034487,0.7869812107195803,0.1088838827777458,0.038659872223367045
run 8,C,M09,Log-Normal (Chu-Hashim),True,255,2,0.0083154147360559,0.9992972249214742,0.9992944471543654,0.005732996766192143,3.286725192116957e-05,-2630.3814978436817,-2630.3338787960624,2.056001044322924e-16,0.013767568675376434,a=1.32393;b=5.50289,a=0.00463323;b=0.00429706,converged,26.664350693842152,2071.286488771186,245.89112931034487,0.7869812107195803,0.1088838827777458,0.038659872223367045
run 8,C,M10,Fractal Gudermannian (Hu 2024),True,255,3,0.006213850860126157,0.9994748380369728,0.9994706700848853,0.004955872812781521,2.4658138333833954e-05,-2702.6706935906886,-2702.575076060808,0.5,0.0129219170535771,k0=0.0512282;tau0=246.677;h=0.47473,k0=0.00113849;tau0=0.997409;h=0.00318301,converged,26.664350693842152,2071.286488771186,245.89112931034487,0.7869812107195803,0.1088838827777458,0.038659872223367045
run 8,C,M11,Fractal Error-Function (Hu 2024),True,255,3,0.0135155506880657,0.998857736805966,0.9988486712250609,0.0073089772858236845,5.363313765105436e-05,-2504.5203641959156,-2504.424746666035,9.379996541907465e-44,0.01846561171697341,k0=0.0460807;tau0=234.217;h=0.562731,k0=0.00142228;tau0=1.40051;h=0.00436428,converged,26.664350693842152,2071.286488771186,245.89112931034487,0.7869812107195803,0.1088838827777458,0.038659872223367045
run 8,C,M12,Gompertz (Chu 2020),True,255,2,0.4478354629330688,0.9621513042200103,0.9620017046319471,0.04207256402935557,0.0017701006440042244,-1613.8711970032464,-1613.8235779556273,3.807291283182974e-237,17.994585425371596,alpha_G=0.584075;beta_G=0.00289136,alpha_G=0.0340523;beta_G=8.41388e-05,converged,26.664350693842152,2071.286488771186,245.89112931034487,0.7869812107195803,0.1088838827777458,0.038659872223367045
run 8,C,M13,Log-Gompertz (Chu 2020),True,255,2,0.11330092581991706,0.9904244022015065,0.9903865539888642,0.021161988241273143,0.00044782974632378284,-1964.3377286080286,-1964.2901095604095,4.824546408843959e-161,0.036887005738239005,alpha_G=5.56682;beta_G=1.08653,alpha_G=0.0827315;beta_G=0.0135222,converged,26.664350693842152,2071.286488771186,245.89112931034487,0.7869812107195803,0.1088838827777458,0.038659872223367045
run 8,C,M14,Weibull (Chu 2021),True,255,2,0.044469575471034944,0.996241665583058,0.9962268105063112,0.013257792916169842,0.00017576907300804326,-2202.8244593493932,-2202.776840301774,2.9525147263526336e-109,0.030057888099075666,tau=415.647;k=0.71751,tau=3.51004;k=0.00637721,converged,26.664350693842152,2071.286488771186,245.89112931034487,0.7869812107195803,0.1088838827777458,0.038659872223367045
run 8,C,M15,Avrami (Singh),True,255,2,0.04446957547709786,0.9962416655825456,0.9962268105057968,0.013257792917073616,0.00017576907303200735,-2202.824459314627,-2202.7768402670076,2.9525146750285617e-109,0.030057907985530125,k=0.0132142;n=0.717509,k=0.000554081;n=0.00637718,converged,26.664350693842152,2071.286488771186,245.89112931034487,0.7869812107195803,0.1088838827777458,0.038659872223367045
run 8,C,M16,Klinkenberg,True,255,2,7.437670809288499,0.3714072174437353,0.36892266099094373,0.17145818247347863,0.029397908337108692,-897.3499811918871,-897.302362144268,9.85967654375977e-305,135.07349944224765,K_fa=1;K=696.72,K_fa=0.1782;K=66.7556,converged,26.664350693842152,2071.286488771186,245.89112931034487,0.7869812107195803,0.1088838827777458,0.038659872223367045
run 8,C,M17,Dima (wave erf),True,255,2,0.7421689729429878,0.9372757854183942,0.9370278636216289,0.054161556489411226,0.002933474201355683,-1485.057679542961,-1485.010060495342,4.065520831770395e-265,23.172338539287228,v_d=0.00283933;sigma_a=1.17554,v_d=8.42558e-05;sigma_a=0.0601711,converged,26.664350693842152,2071.286488771186,245.89112931034487,0.7869812107195803,0.1088838827777458,0.038659872223367045
run 8,C,M18,Chern-Chien Langmuir,True,0,4,inf,,,inf,inf,inf,inf,,inf,K_fa=0.0162674;K_L=1;q0=1;t12=245.891,K_fa=0;K_L=0;q0=0;t12=0,converged,26.664350693842152,2071.286488771186,245.89112931034487,0.7869812107195803,0.1088838827777458,0.038659872223367045
run 8,C,M19,Chern-Chien Freundlich,True,0,4,inf,,,inf,inf,inf,inf,,inf,K_fa=0.0162674;n=2;q0=1;t12=245.891,K_fa=0;n=0;q0=0;t12=0,converged,26.664350693842152,2071.286488771186,245.89112931034487,0.7869812107195803,0.1088838827777458,0.038659872223367045
