run_id,code,model,p,AdjR2,chi2_red,AICc,RMSE,R2,params
run 3,M01,Logistic (BA/Thomas/YN),2,0.913493929437574,0.0042501146958767,-2089.46362663777,0.0651929037233096,0.9137203851196743,k_YN=0.00212307;tau=507.498
run 3,M02,Clark,3,0.9385552499133812,0.0030188313216603,-2219.453633820326,0.0548717402664723,0.9388769501756148,r=0.00165464;A=0.0155012;n=1.01
run 3,M04,Modified Dose-Response,2,0.9929605409495328,0.0003458544373463,-3050.2893165936634,0.018597162077757,0.9929789688528065,a=1.1776;t50=342.691
run 3,M05,"Wolborska (early, C/C0≤0.15)",2,0.9252924590518544,0.0002692241523542,-19.652453703120457,0.0164080514490378,0.9501949727012364,slope=0.032465;intercept=-3.60909
run 3,M06,Gudermannian,2,0.9190571892394804,0.0039767871468696,-2114.9222977235545,0.0630617724685059,0.9192690814142462,k=0.00170659;tau=500.773
run 3,M07,Error function,2,0.9051510943126908,0.0046600050762744,-2054.200599235884,0.0682642298445855,0.9053993898773174,k=0.000920041;tau=515.742
run 3,M14,Weibull,2,0.9977462975932082,0.000110726260677,-3486.509828376387,0.010522654640204,0.9977521973377286,tau=600.777;k=0.634981
run 3,M16,Klinkenberg,2,0.3704293715776594,0.0309313249642891,-1329.276243964282,0.175873036490217,0.3720774622279796,K_fa=1;K=1092.23
run 3,M23,Fractal-BA (fractal YN),3,0.9971498228210818,0.0001400315588861,-3395.553656000755,0.0118179533755297,0.9971647452146888,k_YN0=0.376823;tau=349.879;h=0.829781
run 4,M01,Logistic (BA/Thomas/YN),2,0.963038242689078,0.0038480314735776,-7960.190188424473,0.0620325033637819,0.9630640720093512,k_YN=0.00154866;tau=1004.26
run 4,M02,Clark,3,0.9810721807971472,0.0019705460269672,-8917.55101246879,0.0443753087059973,0.9810986347722734,r=0.00108895;A=0.0193667;n=1.01
run 4,M04,Modified Dose-Response,2,0.994697136612398,0.0005520729180683,-10740.614165433848,0.0234962319972447,0.9947008423170712,a=1.40911;t50=740.69
run 4,M05,"Wolborska (early, C/C0≤0.15)",2,0.9328887316451604,0.0001283071822808,-275.43244371476703,0.0113272760309278,0.9351257739236551,slope=0.0109446;intercept=-3.39329
run 4,M06,Gudermannian,2,0.9640253094563112,0.0037452694767687,-7998.951766594496,0.0611986068204884,0.9640504490024632,k=0.00125754;tau=996.287
run 4,M07,Error function,2,0.9610433008925168,0.0040557217832278,-7884.914304449175,0.0636845490148738,0.9610705243020958,k=0.000663099;tau=1014.53
run 4,M14,Weibull,2,0.9996058243936252,4.1037013654066335e-05,-14462.676733564327,0.0064060138662093,0.9996060998482768,tau=1202.5;k=0.810509
run 4,M16,Klinkenberg,2,0.0326684291119186,0.1007073959944724,-3285.2006042081985,0.3173442862168349,0.0333444120405617,K_fa=1;K=1869.77
