run_id,fmt,code,name,converged,n,p,RSS,R2,AdjR2,RMSE,chi2_red,AIC,AICc,W_AICc,AAD,params,stderr,message,t_b,t_E,t50,q_dyn_mol_per_kg,L_MTZ_m,efficiency
May-20-2026conc5_flow1.5(2),A,M01,Yoon-Nelson / Thomas / BA (logistic),True,45,2,1.003733845664771,-1794.9027068844723,-1836.667886114344,0.15278300813113782,0.02334264757359933,-167.13210189217048,-166.8463876064562,5.892085915251583e-06,0.11387704857999044,k_YN=0.131838;tau=1,k_YN=0.209714;tau=4.77941,converged,0.0,0.0,0.0,,,
May-20-2026conc5_flow1.5(2),A,M02,Clark,True,45,3,0.5877413086773663,-1050.599696234644,-1100.6758722458176,0.11691194347619327,0.013993840682794436,-189.2158891000381,-188.63052324637957,0.24052072642092848,0.10251025987271482,r=1;A=1.00049e-06;n=9.99539,r=0;A=1.06412;n=1.14162e-07,converged,0.0,0.0,0.0,,,
May-20-2026conc5_flow1.5(2),A,M03,Fractal Clark,True,45,4,0.5877412830321419,-1050.5996503496435,-1127.5459662288858,0.11691194092555321,0.014335153244686387,-187.2158910635467,-186.2158910635467,0.08649969220560681,0.1025102576566027,r=1;A0=0.00173346;n=9.98614;h=0.988426,r=0;A0=0;n=0;h=0,converged,0.0,0.0,0.0,,,
May-20-2026conc5_flow1.5(2),A,M04,Modified Dose-Response (Yan),True,45,2,1.818317724134899,-3252.3741258741047,-3328.0339892665256,0.20563671535212674,0.0422864587008116,-140.39378345903083,-140.10806917331655,9.207029916866472e-12,0.12243535128956148,a=16.52;t50=1,a=0;t50=0,converged,0.0,0.0,0.0,,,
May-20-2026conc5_flow1.5(2),A,M05,"Wolborska (linearised, early)",False,45,2,inf,,,inf,inf,inf,inf,,inf,slope=nan;intercept=nan,slope=nan;intercept=nan,insufficient early-region points,0.0,0.0,0.0,,,
May-20-2026conc5_flow1.5(2),A,M06,Gudermannian (Hu 2021),True,45,2,1.0098979256887672,-1805.9316146455885,-1847.9532801024625,0.15325142176120846,0.023485998271831798,-166.85659524645126,-166.570880960737,5.133858473465351e-06,0.1140988035952407,k=0.113842;tau=1,k=0.180239;tau=4.41667,converged,0.0,0.0,0.0,,,
May-20-2026conc5_flow1.5(2),A,M07,Error-Function (Hu 2021),True,45,2,0.9952194859477009,-1779.668626924613,-1821.0795252251853,0.15213362287175727,0.023144639208086067,-167.51545101625345,-167.22973673053917,7.136934892074933e-06,0.11353458651604416,k=0.05104;tau=1,k=0.0747867;tau=5.32768,converged,0.0,0.0,0.0,,,
May-20-2026conc5_flow1.5(2),A,M08,Tanh (Hu 2019),True,45,2,1.0037338455819003,-1794.902706736198,-1836.6678859626213,0.15278300812483075,0.0233426475716721,-167.1321018958858,-166.84638761017152,5.892085926196995e-06,0.11387699537203545,k=0.0659202;tau=1,k=0.104865;tau=4.77935,converged,0.0,0.0,0.0,,,
May-20-2026conc5_flow1.5(2),A,M09,Log-Normal (Chu-Hashim),True,45,2,1.818317724134899,-3252.3741258741047,-3328.0339892665256,0.20563671535212674,0.0422864587008116,-140.39378345903083,-140.10806917331655,9.207029916866472e-12,0.12243535128956148,a=0.3;b=0,a=0;b=0,converged,0.0,0.0,0.0,,,
May-20-2026conc5_flow1.5(2),A,M10,Fractal Gudermannian (Hu 2024),True,45,3,0.9530295037847448,-1704.1813814789052,-1785.3804948826628,0.1488740300798073,0.022691178661541543,-167.46473580270333,-166.8793699490448,5.9900583510713615e-06,0.11247280448772962,k0=1;tau0=1;h=0.1,k0=546433;tau0=0.473237;h=3.2786e+06,converged,0.0,0.0,0.0,,,
