run_id,fmt,code,name,converged,n,p,RSS,R2,AdjR2,RMSE,chi2_red,AIC,AICc,W_AICc,AAD,params,stderr,message,t_b_s,t_E_s,t50_s,q_dyn_mol_per_kg,L_MTZ_m,efficiency
run 4,C,M01,Yoon-Nelson / Thomas / BA (logistic),True,1432,2,5.5026850072160025,0.9630640720093511,0.9630382426890779,0.06203250336378199,0.003848031473577624,-7960.198585905228,-7960.190188424473,9.85967654375977e-305,0.6236452949360185,k_YN=0.00154866;tau=1004.26,k_YN=2.09562e-05;tau=9.2779,converged,34.07835000000001,4659.8634,756.1375,0.8096585445213645,0.1072788520742904,0.016802421144709156
run 4,C,M02,Clark,True,1432,3,2.81591027253617,0.9810986347722734,0.9810721807971472,0.044375308705997374,0.001970546026967229,-8917.56781919148,-8917.55101246879,9.85967654375977e-305,0.5040248739701448,r=0.00108895;A=0.0193667;n=1.01,r=2.17049e-05;A=0.0871738;n=0.0446262,converged,34.07835000000001,4659.8634,756.1375,0.8096585445213645,0.1072788520742904,0.016802421144709156
run 4,C,M03,Fractal Clark,True,1432,4,0.1276843726851359,0.999142938258533,0.9991411377086559,0.009449326489675688,8.941482681031926e-05,-13345.43042451111,-13345.402393677194,2.437584656078059e-243,0.046569703591422325,r=0.0428395;A0=0.0483956;n=1.01;h=0.543891,r=0.00491547;A0=0.248545;n=0.0501938;h=0.0143147,converged,34.07835000000001,4659.8634,756.1375,0.8096585445213645,0.1072788520742904,0.016802421144709156
run 4,C,M04,Modified Dose-Response (Yan),True,1432,2,0.7894642728377396,0.9947008423170713,0.994697136612398,0.02349623199724478,0.0005520729180683493,-10740.622562914603,-10740.614165433848,9.85967654375977e-305,0.04634230803457228,a=1.40911;t50=740.69,a=0.0069233;t50=3.39601,converged,34.07835000000001,4659.8634,756.1375,0.8096585445213645,0.1072788520742904,0.016802421144709156
run 4,C,M05,"Wolborska (linearised, early)",True,31,2,0.0037209082861441364,0.9351257739236551,0.9328887316451605,0.011327276030927836,0.00012830718228083228,-275.8610151433385,-275.43244371476703,9.85967654375977e-305,0.42572055570402295,slope=0.0109446;intercept=-3.39329,slope=0.000647003;intercept=0.072145,converged,34.07835000000001,4659.8634,756.1375,0.8096585445213645,0.1072788520742904,0.016802421144709156
run 4,C,M06,Gudermannian (Hu 2021),True,1432,2,5.355735351779287,0.9640504490024633,0.9640253094563112,0.06119860682048842,0.003745269476768732,-7998.960164075252,-7998.951766594496,9.85967654375977e-305,0.6327201940499714,k=0.00125754;tau=996.287,k=1.73925e-05;tau=9.20589,converged,34.07835000000001,4659.8634,756.1375,0.8096585445213645,0.1072788520742904,0.016802421144709156
run 4,C,M07,Error-Function (Hu 2021),True,1432,2,5.799682150015846,0.9610705243020958,0.9610433008925169,0.0636845490148738,0.0040557217832278645,-7884.922701929931,-7884.914304449175,9.85967654375977e-305,0.6121506148621173,k=0.000663099;tau=1014.53,k=8.73397e-06;tau=9.41834,converged,34.07835000000001,4659.8634,756.1375,0.8096585445213645,0.1072788520742904,0.016802421144709156
run 4,C,M08,Tanh (Hu 2019),True,1432,2,5.502685006112711,0.9630640720167567,0.9630382426964887,0.06203250335756322,0.0038480314728060916,-7960.198586192344,-7960.190188711588,9.85967654375977e-305,0.623634067130983,k=0.000774351;tau=1004.24,k=1.04786e-05;tau=9.27775,converged,34.07835000000001,4659.8634,756.1375,0.8096585445213645,0.1072788520742904,0.016802421144709156
run 4,C,M09,Log-Normal (Chu-Hashim),True,1432,2,0.46617486398596736,0.9968708728221484,0.9968686846213247,0.018055370624326585,0.00032599640838179534,-11494.991243603188,-11494.982846122433,9.85967654375977e-305,0.04022501042163852,a=1.22062;b=6.59651,a=0.00438427;b=0.00362314,converged,34.07835000000001,4659.8634,756.1375,0.8096585445213645,0.1072788520742904,0.016802421144709156
run 4,C,M10,Fractal Gudermannian (Hu 2024),True,1432,3,0.07373477748385418,0.9995050666305669,0.9995043739316594,0.007180722906312475,5.159886457932413e-05,-14133.7227413275,-14133.70593460481,3.6719660086499173e-72,0.017304577897775033,k0=0.0119685;tau0=773.686;h=0.34746,k0=0.000149726;tau0=1.32614;h=0.00164502,converged,34.07835000000001,4659.8634,756.1375,0.8096585445213645,0.1072788520742904,0.016802421144709156
run 4,C,M11,Fractal Error-Function (Hu 2024),True,1432,3,0.08166003139081676,0.9994518695809028,0.9994511024284618,0.007556779542669961,5.7144878510018726e-05,-13987.529713282187,-13987.512906559497,6.599119090348396e-104,0.021704895756510793,k0=0.0101837;tau0=743.234;h=0.417758,k0=0.000129344;tau0=1.3905;h=0.00165429,converged,34.07835000000001,4659.8634,756.1375,0.8096585445213645,0.1072788520742904,0.016802421144709156
run 4,C,M12,Gompertz (Chu 2020),True,1432,2,2.7876172238670245,0.9812885475161265,0.9812754625843196,0.0441518139381938,0.0019493826740328843,-8934.028706561536,-8934.02030908078,9.85967654375977e-305,0.5024265569085601,alpha_G=0.652641;beta_G=0.00108469,alpha_G=0.0104341;beta_G=9.70351e-06,converged,34.07835000000001,4659.8634,756.1375,0.8096585445213645,0.1072788520742904,0.016802421144709156
run 4,C,M13,Log-Gompertz (Chu 2020),True,1432,2,2.0716985974561526,0.9860940413427948,0.9860843168961814,0.03806232097417819,0.0014487402779413655,-9359.072569497632,-9359.064172016877,9.85967654375977e-305,0.07140139892314934,alpha_G=6.89008;beta_G=1.11019,alpha_G=0.058582;beta_G=0.00835829,converged,34.07835000000001,4659.8634,756.1375,0.8096585445213645,0.1072788520742904,0.016802421144709156
run 4,C,M14,Weibull (Chu 2021),True,1432,2,0.058682929525314856,0.9996060998482768,0.9996058243936252,0.00640601386620934,4.1037013654066335e-05,-14462.685131045084,-14462.676733564329,0.5,0.016037411505072013,tau=1202.5;k=0.810509,tau=1.30075;k=0.00109452,converged,34.07835000000001,4659.8634,756.1375,0.8096585445213645,0.1072788520742904,0.016802421144709156
run 4,C,M15,Avrami (Singh),True,1432,2,0.058682929525506924,0.9996060998482755,0.999605824393624,0.006406013866219824,4.103701365420065e-05,-14462.685131040398,-14462.676733559643,0.4999999994142854,0.016037415076005063,k=0.00318833;n=0.810509,k=2.59437e-05;n=0.0010945,converged,34.07835000000001,4659.8634,756.1375,0.8096585445213645,0.1072788520742904,0.016802421144709156
run 4,C,M16,Klinkenberg,True,1432,2,144.0115762720956,0.03334441204056171,0.032668429111918695,0.3173442862168349,0.10070739599447244,-3285.2090016889542,-3285.2006042081985,9.85967654375977e-305,3.4518025194225674,K_fa=1;K=1869.77,K_fa=0.0924986;K=103.306,converged,34.07835000000001,4659.8634,756.1375,0.8096585445213645,0.1072788520742904,0.016802421144709156
run 4,C,M17,Dima (wave erf),True,1432,2,5.79968214281155,0.9610705243504535,0.9610433009409083,0.06368454897531972,0.004055721778189895,-7884.922703708745,-7884.914306227989,9.85967654375977e-305,0.6121485860913948,v_d=0.000985683;sigma_a=1.05109,v_d=9.15059e-06;sigma_a=0.0166063,converged,34.07835000000001,4659.8634,756.1375,0.8096585445213645,0.1072788520742904,0.016802421144709156
run 4,C,M18,Chern-Chien Langmuir,True,1,4,0.24794942635718145,,,0.49794520417128374,0.24794942635718145,6.6054695204080085,inf,,0.9918172369383035,K_fa=0.00529004;K_L=1;q0=1;t12=756.138,K_fa=0;K_L=0;q0=0;t12=0,converged,34.07835000000001,4659.8634,756.1375,0.8096585445213645,0.1072788520742904,0.016802421144709156
run 4,C,M19,Chern-Chien Freundlich,True,1,4,0.24794942635718145,,,0.49794520417128374,0.24794942635718145,6.6054695204080085,inf,,0.9918172369383035,K_fa=0.00529004;n=2;q0=1;t12=756.138,K_fa=0;n=0;q0=0;t12=0,converged,34.07835000000001,4659.8634,756.1375,0.8096585445213645,0.1072788520742904,0.016802421144709156
run 4,C,M20,Log-modified Bohart-Adams,True,1432,2,0.7894642728354139,0.994700842317087,0.9946971366124137,0.02349623199721017,0.000552072918066723,-10740.622562918821,-10740.614165438066,9.85967654375977e-305,0.04634230047314845,k_BA=1.40911;log_a0_C0=6.60758,k_BA=0.0069233;log_a0_C0=0.00458493,converged,34.07835000000001,4659.8634,756.1375,0.8096585445213645,0.1072788520742904,0.016802421144709156
run 4,C,M21,Log-modified Yoon-Nelson,True,1432,2,0.7894642728358072,0.9947008423170843,0.994697136612411,0.023496231997216024,0.0005520729180669981,-10740.622562918108,-10740.614165437353,9.85967654375977e-305,0.04634229419562405,k_YN=1.40911;tau=740.69,k_YN=0.0069233;tau=3.39601,converged,34.07835000000001,4659.8634,756.1375,0.8096585445213645,0.1072788520742904,0.016802421144709156
run 4,C,M22,n-Order Bohart-Adams,True,1432,3,103.63503773542863,0.3043657258076232,0.3033921299025254,0.2692063416051702,0.07252276958392485,-3754.3630818398815,-3754.3462751171924,9.85967654375977e-305,0.7983247343871831,k_n=0.999988;a0=8643.83;n=1.37472,k_n=2.9022e+08;a0=4.96256e+09;n=2.36783e+11,converged,34.07835000000001,4659.8634,756.1375,0.8096585445213645,0.1072788520742904,0.016802421144709156
run 4,C,M23,Fractal Yoon-Nelson (Hu 2024),True,1432,3,0.18240699269269892,0.9987756210762104,0.9987739074598021,0.011294128454526356,0.00012764660090461784,-12836.666048251773,-12836.649241529083,9.85967654375977e-305,0.06000374538770391,k_YN0=0.245005;tau=775.724;h=0.755388,k_YN0=0.00571845;tau=1.91064;h=0.00329987,converged,34.07835000000001,4659.8634,756.1375,0.8096585445213645,0.1072788520742904,0.016802421144709156
run 4,C,M24,Parallel two-component sigmoidal (Blagojev),True,1432,5,0.11240925322615311,0.9992454701518987,0.999243355141813,0.00886610790532792,7.877312769877583e-05,-13525.888879485052,-13525.846803748727,3.7150571550265466e-204,0.021372059218892434,p=0.575215;tau1=323.191;k1=1.45744;tau2=1750.4;k2=2.30494,p=0.0239768;tau1=17.267;k1=0.0400372;tau2=33.5352;k2=0.0543141,converged,34.07835000000001,4659.8634,756.1375,0.8096585445213645,0.1072788520742904,0.016802421144709156
