Raw data,,,C0,39700,time (s),time (mins),CO2,C/C0,C (%),1-C/C0,Integration,,Unit conversion,,,
1:43:05 PM,0,3950689385,,0.0397,0,0.0,0,0.0000,0.00,1.0000,,,P,101325,Pa,
1:43:11 PM,0,3950689391,,,6,0.1,0,0.0000,0.00,1.0000,0.1038,,R,8.314,J/molK,
1:43:17 PM,0,3950689397,,,13,0.2,0,0.0000,0.00,1.0000,0.1045,,v,50,ml/min,
1:43:24 PM,0,3950689404,,,19,0.3,0,0.0000,0.00,1.0000,0.1048,,T,296.15,K,
1:43:30 PM,0,3950689410,,,25,0.4,0,0.0000,0.00,1.0000,0.1116,,PV/RT,2057.618517,,
1:43:37 PM,0,3950689417,,,32,0.5,0,0.0000,0.00,1.0000,0.1083,,,,,
1:43:43 PM,0,3950689423,,,38,0.6,0,0.0000,0.00,1.0000,0.1071,,,,,
1:43:50 PM,0,3950689430,,,45,0.7,0,0.0000,0.00,1.0000,0.1057,,,,,
1:43:56 PM,0,3950689436,,,51,0.9,0,0.0000,0.00,1.0000,0.1082,,,,,
1:44:03 PM,0,3950689443,,,58,1.0,0,0.0000,0.00,1.0000,0.1094,,,,,
1:44:09 PM,0,3950689449,,,64,1.1,0,0.0000,0.00,1.0000,0.1086,,,,,
1:44:16 PM,0,3950689456,,,71,1.2,0,0.0000,0.00,1.0000,0.1083,,,,,
1:44:22 PM,0,3950689462,,,77,1.3,0,0.0000,0.00,1.0000,0.1086,,,,,
1:44:29 PM,0,3950689469,,,84,1.4,0,0.0000,0.00,1.0000,0.1080,,,,,
1:44:36 PM,0,3950689476,,,91,1.5,0,0.0000,0.00,1.0000,0.1121,,,,,
1:44:42 PM,0,3950689482,,,97,1.6,0,0.0000,0.00,1.0000,0.1136,,,,,
1:44:49 PM,0,3950689489,,,104,1.7,0,0.0000,0.00,1.0000,0.1136,,,,,
1:44:56 PM,0,3950689496,,,111,1.8,0,0.0000,0.00,1.0000,0.1122,,,,,
1:45:04 PM,0,3950689504,,,119,2.0,0,0.0000,0.00,1.0000,0.1290,,,,,
1:45:10 PM,0,3950689510,,,125,2.1,0,0.0000,0.00,1.0000,0.1129,,,,,
1:45:17 PM,0,3950689517,,,132,2.2,0,0.0000,0.00,1.0000,0.1149,,,,,
1:45:24 PM,0,3950689524,,,139,2.3,0,0.0000,0.00,1.0000,0.1149,,,,,
1:45:31 PM,0,3950689531,,,146,2.4,0,0.0000,0.00,1.0000,0.1155,,,,,
1:45:38 PM,0,3950689538,,,153,2.6,0,0.0000,0.00,1.0000,0.1161,,,,,
1:45:45 PM,0,3950689545,,,160,2.7,0,0.0000,0.00,1.0000,0.1142,,,,,
1:45:52 PM,0,3950689552,,,167,2.8,0,0.0000,0.00,1.0000,0.1139,,,,,
1:45:59 PM,0,3950689559,,,174,2.9,0,0.0000,0.00,1.0000,0.1179,,,,,
1:46:06 PM,0,3950689566,,,181,3.0,0,0.0000,0.00,1.0000,0.1163,,,,,
1:46:13 PM,0,3950689573,,,188,3.1,0,0.0000,0.00,1.0000,0.1147,,,,,
1:46:20 PM,0,3950689580,,,195,3.2,0,0.0000,0.00,1.0000,0.1143,,,,,
1:46:26 PM,0,3950689586,,,201,3.4,0,0.0000,0.00,1.0000,0.1140,,,,,
1:46:33 PM,0,3950689593,,,208,3.5,0,0.0000,0.00,1.0000,0.1171,,,,,
1:46:40 PM,0,3950689600,,,215,3.6,0,0.0000,0.00,1.0000,0.1162,,,,,
1:46:47 PM,0,3950689607,,,222,3.7,0,0.0000,0.00,1.0000,0.1151,,,,,
1:46:54 PM,0,3950689614,,,229,3.8,0,0.0000,0.00,1.0000,0.1151,,,,,
1:47:01 PM,0,3950689621,,,236,3.9,0,0.0000,0.00,1.0000,0.1167,,,,,
1:47:08 PM,0,3950689628,,,243,4.1,0,0.0000,0.00,1.0000,0.1175,,,,,
1:47:15 PM,200,3950689635,,,250,4.2,200,0.0050,0.02,0.9950,0.1173,,,,,
1:47:22 PM,500,3950689642,,,257,4.3,500,0.0126,0.05,0.9874,0.1152,,,,,
1:47:29 PM,700,3950689649,,,264,4.4,700,0.0176,0.07,0.9824,0.1148,,,,,
1:47:37 PM,1300,3950689657,,,272,4.5,1300,0.0327,0.13,0.9673,0.1161,time,0.05,1985,0.001985,0.95
1:47:44 PM,2100,3950689664,,,279,4.6,2100,0.0529,0.21,0.9471,0.1137,4.63,0.95,0.10,,
1:47:51 PM,2900,3950689671,,,286,4.8,2900,0.0730,0.29,0.9270,0.1116,41.88,4.62,,,
1:47:58 PM,4000,3950689678,,,293,4.9,4000,0.1008,0.40,0.8992,0.1102,,,,,
1:48:06 PM,5100,3950689686,,,301,5.0,5100,0.1285,0.51,0.8715,0.1073,,,,,
1:48:13 PM,6100,3950689693,,,308,5.1,6100,0.1537,0.61,0.8463,0.1051,,,,,
1:48:21 PM,7200,3950689701,,,316,5.3,7200,0.1814,0.72,0.8186,0.1012,,,,,
1:48:28 PM,8200,3950689708,,,323,5.4,8200,0.2065,0.82,0.7935,0.1007,,,,,
1:48:36 PM,9200,3950689716,,,331,5.5,9200,0.2317,0.92,0.7683,0.0945,,,,,
1:48:43 PM,10100,3950689723,,,338,5.6,10100,0.2544,1.01,0.7456,0.0924,,,,,
1:48:51 PM,10900,3950689731,,,346,5.8,10900,0.2746,1.09,0.7254,0.0915,,,,,
1:48:58 PM,11900,3950689738,,,353,5.9,11900,0.2997,1.19,0.7003,0.0875,,,,,
1:49:06 PM,12800,3950689746,,,361,6.0,12800,0.3224,1.28,0.6776,0.0853,,,,,
1:49:13 PM,13700,3950689753,,,368,6.1,13700,0.3451,1.37,0.6549,0.0847,,,,,
1:49:21 PM,14500,3950689761,,,376,6.3,14500,0.3652,1.45,0.6348,0.0811,,,,,
1:49:29 PM,15300,3950689769,,,384,6.4,15300,0.3854,1.53,0.6146,0.0772,,,,,
1:49:36 PM,16100,3950689776,,,391,6.5,16100,0.4055,1.61,0.5945,0.0770,,,,,
1:49:44 PM,16800,3950689784,,,399,6.7,16800,0.4232,1.68,0.5768,0.0740,,,,,
1:49:52 PM,17400,3950689792,,,407,6.8,17400,0.4383,1.74,0.5617,0.0725,,,,,
1:50:00 PM,18300,3950689800,,,415,6.9,18300,0.4610,1.83,0.5390,0.0703,,,,,
1:50:08 PM,19000,3950689808,,,423,7.0,19000,0.4786,1.90,0.5214,0.0693,,,,,
1:50:15 PM,19500,3950689815,,,430,7.2,19500,0.4912,1.95,0.5088,0.0668,,,,,
1:50:23 PM,20100,3950689823,,,438,7.3,20100,0.5063,2.01,0.4937,0.0655,,,,,
1:50:31 PM,20800,3950689831,,,447,7.4,20800,0.5239,2.08,0.4761,0.0639,,,,,
1:50:40 PM,21400,3950689840,,,455,7.6,21400,0.5390,2.14,0.4610,0.0621,,,,,
1:50:47 PM,21900,3950689847,,,462,7.7,21900,0.5516,2.19,0.4484,0.0588,,,,,
1:50:55 PM,22300,3950689855,,,470,7.8,22300,0.5617,2.23,0.4383,0.0578,,,,,
1:51:03 PM,22900,3950689863,,,478,8.0,22900,0.5768,2.29,0.4232,0.0569,,,,,
1:51:11 PM,23300,3950689871,,,486,8.1,23300,0.5869,2.33,0.4131,0.0553,,,,,
1:51:19 PM,23900,3950689879,,,494,8.2,23900,0.6020,2.39,0.3980,0.0522,,,,,
1:51:27 PM,24300,3950689887,,,502,8.4,24300,0.6121,2.43,0.3879,0.0508,,,,,
1:51:35 PM,24700,3950689895,,,510,8.5,24700,0.6222,2.47,0.3778,0.0501,,,,,
1:51:43 PM,25000,3950689903,,,518,8.6,25000,0.6297,2.50,0.3703,0.0496,,,,,
1:51:51 PM,25500,3950689911,,,526,8.8,25500,0.6423,2.55,0.3577,0.0484,,,,,
1:51:59 PM,25700,3950689919,,,534,8.9,25700,0.6474,2.57,0.3526,0.0469,,,,,
1:52:07 PM,26000,3950689927,,,542,9.0,26000,0.6549,2.60,0.3451,0.0466,,,,,
1:52:16 PM,26500,3950689936,,,551,9.2,26500,0.6675,2.65,0.3325,0.0456,,,,,
1:52:24 PM,26700,3950689944,,,559,9.3,26700,0.6725,2.67,0.3275,0.0441,,,,,
1:52:32 PM,27000,3950689952,,,567,9.4,27000,0.6801,2.70,0.3199,0.0433,,,,,
1:52:40 PM,27300,3950689960,,,575,9.6,27300,0.6877,2.73,0.3123,0.0425,,,,,
1:52:48 PM,27500,3950689968,,,583,9.7,27500,0.6927,2.75,0.3073,0.0420,,,,,
1:52:56 PM,27700,3950689976,,,591,9.9,27700,0.6977,2.77,0.3023,0.0409,,,,,
1:53:05 PM,28100,3950689985,,,600,10.0,28100,0.7078,2.81,0.2922,0.0447,,,,,
1:53:14 PM,28300,3950689994,,,609,10.1,28300,0.7128,2.83,0.2872,0.0407,,,,,
1:53:22 PM,28700,3950690002,,,617,10.3,28700,0.7229,2.87,0.2771,0.0389,,,,,
1:53:31 PM,28900,3950690011,,,626,10.4,28900,0.7280,2.89,0.2720,0.0398,,,,,
1:53:40 PM,29200,3950690020,,,635,10.6,29200,0.7355,2.92,0.2645,0.0377,,,,,
1:53:48 PM,29300,3950690028,,,643,10.7,29300,0.7380,2.93,0.2620,0.0376,,,,,
1:53:57 PM,29400,3950690037,,,652,10.9,29400,0.7406,2.94,0.2594,0.0376,,,,,
1:54:06 PM,29800,3950690046,,,661,11.0,29800,0.7506,2.98,0.2494,0.0372,,,,,
1:54:15 PM,30000,3950690055,,,670,11.2,30000,0.7557,3.00,0.2443,0.0353,,,,,
1:54:24 PM,30100,3950690064,,,679,11.3,30100,0.7582,3.01,0.2418,0.0361,,,,,
1:54:32 PM,30200,3950690072,,,687,11.5,30200,0.7607,3.02,0.2393,0.0341,,,,,
1:54:42 PM,30500,3950690082,,,697,11.6,30500,0.7683,3.05,0.2317,0.0366,,,,,
1:54:51 PM,30700,3950690091,,,706,11.8,30700,0.7733,3.07,0.2267,0.0341,,,,,
1:54:59 PM,30800,3950690099,,,714,11.9,30800,0.7758,3.08,0.2242,0.0321,,,,,
1:55:08 PM,30900,3950690108,,,723,12.0,30900,0.7783,3.09,0.2217,0.0324,,,,,
1:55:17 PM,31000,3950690117,,,732,12.2,31000,0.7809,3.10,0.2191,0.0319,,,,,
1:55:26 PM,31300,3950690126,,,741,12.3,31300,0.7884,3.13,0.2116,0.0315,,,,,
1:55:35 PM,31400,3950690135,,,750,12.5,31400,0.7909,3.14,0.2091,0.0309,,,,,
1:55:44 PM,31600,3950690144,,,759,12.6,31600,0.7960,3.16,0.2040,0.0308,,,,,
1:55:53 PM,31600,3950690153,,,768,12.8,31600,0.7960,3.16,0.2040,0.0311,,,,,
1:56:02 PM,31800,3950690162,,,777,12.9,31800,0.8010,3.18,0.1990,0.0297,,,,,
1:56:11 PM,31900,3950690171,,,786,13.1,31900,0.8035,3.19,0.1965,0.0313,,,,,
1:56:21 PM,31900,3950690181,,,796,13.3,31900,0.8035,3.19,0.1965,0.0319,,,,,
1:56:31 PM,32200,3950690191,,,806,13.4,32200,0.8111,3.22,0.1889,0.0313,,,,,
1:56:41 PM,32200,3950690201,,,816,13.6,32200,0.8111,3.22,0.1889,0.0306,,,,,
1:56:50 PM,32200,3950690210,,,825,13.8,32200,0.8111,3.22,0.1889,0.0305,,,,,
1:57:00 PM,32600,3950690220,,,835,13.9,32600,0.8212,3.26,0.1788,0.0289,,,,,
1:57:10 PM,32700,3950690230,,,845,14.1,32700,0.8237,3.27,0.1763,0.0284,,,,,
1:57:19 PM,32700,3950690239,,,854,14.2,32700,0.8237,3.27,0.1763,0.0272,,,,,
1:57:28 PM,32900,3950690248,,,863,14.4,32900,0.8287,3.29,0.1713,0.0264,,,,,
1:57:38 PM,32700,3950690258,,,873,14.5,32700,0.8237,3.27,0.1763,0.0281,,,,,
1:57:47 PM,33000,3950690267,,,882,14.7,33000,0.8312,3.30,0.1688,0.0268,,,,,
1:57:57 PM,33200,3950690277,,,892,14.9,33200,0.8363,3.32,0.1637,0.0264,,,,,
1:58:07 PM,33200,3950690287,,,902,15.0,33200,0.8363,3.32,0.1637,0.0260,,,,,
1:58:16 PM,33200,3950690296,,,911,15.2,33200,0.8363,3.32,0.1637,0.0256,,,,,
1:58:25 PM,33400,3950690305,,,920,15.3,33400,0.8413,3.34,0.1587,0.0249,,,,,
1:58:35 PM,33400,3950690315,,,930,15.5,33400,0.8413,3.34,0.1587,0.0252,,,,,
1:58:44 PM,33500,3950690324,,,939,15.7,33500,0.8438,3.35,0.1562,0.0244,,,,,
1:58:54 PM,33700,3950690334,,,949,15.8,33700,0.8489,3.37,0.1511,0.0241,,,,,
1:59:03 PM,33600,3950690343,,,958,16.0,33600,0.8463,3.36,0.1537,0.0244,,,,,
1:59:13 PM,33600,3950690353,,,968,16.1,33600,0.8463,3.36,0.1537,0.0252,,,,,
1:59:23 PM,33800,3950690363,,,978,16.3,33800,0.8514,3.38,0.1486,0.0241,,,,,
1:59:33 PM,33800,3950690373,,,988,16.5,33800,0.8514,3.38,0.1486,0.0241,,,,,
1:59:42 PM,33900,3950690382,,,997,16.6,33900,0.8539,3.39,0.1461,0.0240,,,,,
1:59:52 PM,33900,3950690392,,,1007,16.8,33900,0.8539,3.39,0.1461,0.0240,,,,,
2:00:02 PM,34000,3950690402,,,1017,17.0,34000,0.8564,3.40,0.1436,0.0237,,,,,
2:00:12 PM,34200,3950690412,,,1027,17.1,34200,0.8615,3.42,0.1385,0.0232,,,,,
2:00:22 PM,34200,3950690422,,,1037,17.3,34200,0.8615,3.42,0.1385,0.0233,,,,,
2:00:33 PM,34200,3950690433,,,1048,17.5,34200,0.8615,3.42,0.1385,0.0239,,,,,
2:00:43 PM,34300,3950690443,,,1058,17.6,34300,0.8640,3.43,0.1360,0.0228,,,,,
2:00:53 PM,34200,3950690453,,,1068,17.8,34200,0.8615,3.42,0.1385,0.0242,,,,,
2:01:03 PM,34300,3950690463,,,1078,18.0,34300,0.8640,3.43,0.1360,0.0231,,,,,
2:01:14 PM,34600,3950690474,,,1089,18.1,34600,0.8715,3.46,0.1285,0.0225,,,,,
2:01:24 PM,34500,3950690484,,,1099,18.3,34500,0.8690,3.45,0.1310,0.0221,,,,,
2:01:34 PM,34500,3950690494,,,1109,18.5,34500,0.8690,3.45,0.1310,0.0225,,,,,
2:01:45 PM,34600,3950690505,,,1120,18.7,34600,0.8715,3.46,0.1285,0.0224,,,,,
2:01:55 PM,34700,3950690515,,,1130,18.8,34700,0.8741,3.47,0.1259,0.0223,,,,,
2:02:06 PM,34600,3950690526,,,1141,19.0,34600,0.8715,3.46,0.1285,0.0232,,,,,
2:02:18 PM,34800,3950690538,,,1153,19.2,34800,0.8766,3.48,0.1234,0.0233,,,,,
2:02:29 PM,34900,3950690549,,,1164,19.4,34900,0.8791,3.49,0.1209,0.0236,,,,,
2:02:41 PM,34900,3950690561,,,1176,19.6,34900,0.8791,3.49,0.1209,0.0229,,,,,
2:02:52 PM,34900,3950690572,,,1187,19.8,34900,0.8791,3.49,0.1209,0.0221,time,0.95,37715,0.037715,0.05
2:03:02 PM,35100,3950690582,,,1197,20.0,35100,0.8841,3.51,0.1159,0.0207,22.29570211,0.05,0.125912606,,
2:03:13 PM,35100,3950690593,,,1208,20.1,35100,0.8841,3.51,0.1159,0.0209,74.84345088,9.316523014,,,
2:03:24 PM,35000,3950690604,,,1219,20.3,35000,0.8816,3.50,0.1184,0.0213,,,,,
2:03:35 PM,35100,3950690615,,,1230,20.5,35100,0.8841,3.51,0.1159,0.0210,,,,,
2:03:46 PM,35100,3950690626,,,1241,20.7,35100,0.8841,3.51,0.1159,0.0206,,,,,
2:03:56 PM,35000,3950690636,,,1251,20.9,35000,0.8816,3.50,0.1184,0.0211,,,,,
2:04:07 PM,35200,3950690647,,,1262,21.0,35200,0.8866,3.52,0.1134,0.0203,,,,,
2:04:18 PM,35300,3950690658,,,1273,21.2,35300,0.8892,3.53,0.1108,0.0196,,,,,
2:04:28 PM,35200,3950690668,,,1283,21.4,35200,0.8866,3.52,0.1134,0.0198,,,,,
2:04:39 PM,35000,3950690679,,,1294,21.6,35000,0.8816,3.50,0.1184,0.0212,,,,,
2:04:50 PM,35400,3950690690,,,1305,21.7,35400,0.8917,3.54,0.1083,0.0193,,,,,
2:05:00 PM,35100,3950690700,,,1315,21.9,35100,0.8841,3.51,0.1159,0.0206,,,,,
2:05:11 PM,35200,3950690711,,,1326,22.1,35200,0.8866,3.52,0.1134,0.0203,,,,,
2:05:22 PM,35100,3950690722,,,1337,22.3,35100,0.8841,3.51,0.1159,0.0209,,,,,
2:05:33 PM,35300,3950690733,,,1348,22.5,35300,0.8892,3.53,0.1108,0.0204,,,,,
2:05:44 PM,35400,3950690744,,,1359,22.6,35400,0.8917,3.54,0.1083,0.0200,,,,,
2:05:55 PM,35500,3950690755,,,1370,22.8,35500,0.8942,3.55,0.1058,0.0199,,,,,
2:06:06 PM,35300,3950690766,,,1381,23.0,35300,0.8892,3.53,0.1108,0.0204,,,,,
2:06:18 PM,35400,3950690778,,,1393,23.2,35400,0.8917,3.54,0.1083,0.0205,,,,,
2:06:29 PM,35200,3950690789,,,1404,23.4,35200,0.8866,3.52,0.1134,0.0209,,,,,
2:06:40 PM,35400,3950690800,,,1415,23.6,35400,0.8917,3.54,0.1083,0.0199,,,,,
2:06:51 PM,35100,3950690811,,,1426,23.8,35100,0.8841,3.51,0.1159,0.0212,,,,,
2:07:02 PM,35500,3950690822,,,1437,23.9,35500,0.8942,3.55,0.1058,0.0198,,,,,
2:07:13 PM,35600,3950690833,,,1448,24.1,35600,0.8967,3.56,0.1033,0.0192,,,,,
2:07:24 PM,35900,3950690844,,,1459,24.3,35900,0.9043,3.59,0.0957,0.0181,,,,,
2:07:36 PM,35600,3950690856,,,1471,24.5,35600,0.8967,3.56,0.1033,0.0193,,,,,
2:07:47 PM,35500,3950690867,,,1482,24.7,35500,0.8942,3.55,0.1058,0.0200,,,,,
2:07:58 PM,35500,3950690878,,,1493,24.9,35500,0.8942,3.55,0.1058,0.0202,,,,,
2:08:10 PM,35700,3950690890,,,1505,25.1,35700,0.8992,3.57,0.1008,0.0202,,,,,
2:08:23 PM,35500,3950690903,,,1518,25.3,35500,0.8942,3.55,0.1058,0.0219,,,,,
2:08:35 PM,35600,3950690915,,,1530,25.5,35600,0.8967,3.56,0.1033,0.0208,,,,,
2:08:47 PM,35700,3950690927,,,1542,25.7,35700,0.8992,3.57,0.1008,0.0198,,,,,
2:08:59 PM,35700,3950690939,,,1554,25.9,35700,0.8992,3.57,0.1008,0.0204,,,,,
2:09:11 PM,35900,3950690951,,,1566,26.1,35900,0.9043,3.59,0.0957,0.0190,,,,,
2:09:22 PM,35700,3950690962,,,1577,26.3,35700,0.8992,3.57,0.1008,0.0196,,,,,
2:09:34 PM,35600,3950690974,,,1589,26.5,35600,0.8967,3.56,0.1033,0.0201,,,,,
2:09:46 PM,35700,3950690986,,,1601,26.7,35700,0.8992,3.57,0.1008,0.0198,,,,,
2:09:58 PM,35700,3950690998,,,1613,26.9,35700,0.8992,3.57,0.1008,0.0202,,,,,
2:10:10 PM,35900,3950691010,,,1625,27.1,35900,0.9043,3.59,0.0957,0.0190,,,,,
2:10:22 PM,35900,3950691022,,,1637,27.3,35900,0.9043,3.59,0.0957,0.0187,,,,,
2:10:34 PM,35800,3950691034,,,1649,27.5,35800,0.9018,3.58,0.0982,0.0199,,,,,
2:10:45 PM,35600,3950691045,,,1660,27.7,35600,0.8967,3.56,0.1033,0.0199,,,,,
2:10:57 PM,35600,3950691057,,,1672,27.9,35600,0.8967,3.56,0.1033,0.0203,,,,,
2:11:09 PM,35700,3950691069,,,1684,28.1,35700,0.8992,3.57,0.1008,0.0204,,,,,
2:11:21 PM,35700,3950691081,,,1696,28.3,35700,0.8992,3.57,0.1008,0.0198,,,,,
2:11:33 PM,35900,3950691093,,,1708,28.5,35900,0.9043,3.59,0.0957,0.0189,,,,,
2:11:45 PM,35900,3950691105,,,1720,28.7,35900,0.9043,3.59,0.0957,0.0190,,,,,
2:11:57 PM,35900,3950691117,,,1732,28.9,35900,0.9043,3.59,0.0957,0.0191,,,,,
2:12:09 PM,35900,3950691129,,,1744,29.1,35900,0.9043,3.59,0.0957,0.0193,,,,,
2:12:21 PM,36000,3950691141,,,1756,29.3,36000,0.9068,3.60,0.0932,0.0189,,,,,
2:12:33 PM,35900,3950691153,,,1768,29.5,35900,0.9043,3.59,0.0957,0.0193,,,,,
2:12:45 PM,36000,3950691165,,,1780,29.7,36000,0.9068,3.60,0.0932,0.0191,,,,,
2:12:58 PM,36100,3950691178,,,1793,29.9,36100,0.9093,3.61,0.0907,0.0192,,,,,
2:13:10 PM,36100,3950691190,,,1805,30.1,36100,0.9093,3.61,0.0907,0.0187,,,,,
2:13:23 PM,35900,3950691203,,,1818,30.3,35900,0.9043,3.59,0.0957,0.0200,,,,,
2:13:36 PM,35900,3950691216,,,1831,30.5,35900,0.9043,3.59,0.0957,0.0202,,,,,
2:13:48 PM,35900,3950691228,,,1843,30.7,35900,0.9043,3.59,0.0957,0.0197,,,,,
2:14:01 PM,36000,3950691241,,,1856,30.9,36000,0.9068,3.60,0.0932,0.0194,,,,,
2:14:13 PM,36200,3950691253,,,1868,31.1,36200,0.9118,3.62,0.0882,0.0181,,,,,
2:14:25 PM,35900,3950691265,,,1880,31.3,35900,0.9043,3.59,0.0957,0.0196,,,,,
2:14:38 PM,36100,3950691278,,,1893,31.6,36100,0.9093,3.61,0.0907,0.0197,,,,,
2:14:51 PM,35900,3950691291,,,1906,31.8,35900,0.9043,3.59,0.0957,0.0208,,,,,
2:15:04 PM,36100,3950691304,,,1919,32.0,36100,0.9093,3.61,0.0907,0.0198,,,,,
2:15:17 PM,36200,3950691317,,,1932,32.2,36200,0.9118,3.62,0.0882,0.0188,,,,,
2:15:30 PM,36100,3950691330,,,1945,32.4,36100,0.9093,3.61,0.0907,0.0188,,,,,
2:15:42 PM,35900,3950691342,,,1957,32.6,35900,0.9043,3.59,0.0957,0.0200,,,,,
2:15:55 PM,35700,3950691355,,,1970,32.8,35700,0.8992,3.57,0.1008,0.0213,,,,,
2:16:08 PM,36100,3950691368,,,1983,33.0,36100,0.9093,3.61,0.0907,0.0193,,,,,
2:16:21 PM,36100,3950691381,,,1996,33.3,36100,0.9093,3.61,0.0907,0.0197,,,,,
2:16:34 PM,36200,3950691394,,,2009,33.5,36200,0.9118,3.62,0.0882,0.0192,,,,,
2:16:46 PM,36200,3950691406,,,2021,33.7,36200,0.9118,3.62,0.0882,0.0186,,,,,
2:16:59 PM,36000,3950691419,,,2034,33.9,36000,0.9068,3.60,0.0932,0.0197,,,,,
2:17:12 PM,36100,3950691432,,,2047,34.1,36100,0.9093,3.61,0.0907,0.0195,,,,,
2:17:25 PM,36200,3950691445,,,2060,34.3,36200,0.9118,3.62,0.0882,0.0190,,,,,
2:17:38 PM,36400,3950691458,,,2073,34.5,36400,0.9169,3.64,0.0831,0.0179,,,,,
2:17:51 PM,36500,3950691471,,,2086,34.8,36500,0.9194,3.65,0.0806,0.0176,,,,,
2:18:04 PM,36300,3950691484,,,2099,35.0,36300,0.9144,3.63,0.0856,0.0191,,,,,
2:18:17 PM,36200,3950691497,,,2112,35.2,36200,0.9118,3.62,0.0882,0.0191,,,,,
2:18:30 PM,36300,3950691510,,,2125,35.4,36300,0.9144,3.63,0.0856,0.0184,,,,,
2:18:43 PM,36300,3950691523,,,2138,35.6,36300,0.9144,3.63,0.0856,0.0187,,,,,
2:18:56 PM,36300,3950691536,,,2151,35.8,36300,0.9144,3.63,0.0856,0.0181,,,,,
