,sensor [Auto],,,,,,,
,CO2,Pressure,Temperature,Humidity,TC-Pressure,TC-Humidity,TC-Temperature,
05/20/26 10:59:46.120,,"1006",,,,,,
05/20/26 10:59:46.340,,,"23.9",,,,,
05/20/26 10:59:46.574,,,,"70.3",,,,
05/20/26 10:59:46.795,,,,,"1005",,,
05/20/26 10:59:47.032,,,,,,"74",,
05/20/26 10:59:47.275,,,,,,,"21.9",
05/20/26 11:31:35.845,"3100","1006","23.7","70.5","1005","74","21.8",
05/20/26 11:31:40.844,"3100","1006","23.7","70.6","1005","74","21.8",
05/20/26 11:31:45.844,"3100","1006","23.8","70.8","1005","74","21.7",
05/20/26 11:31:50.844,"3100","1006","23.8","70.9","1005","74","21.8",
05/20/26 11:31:55.844,"3100","1006","23.8","70.9","1005","74","21.8",
05/20/26 11:32:00.844,"3100","1006","23.8","70.8","1005","74","21.8",
05/20/26 11:32:05.844,"3100","1006","23.8","70.7","1005","74","21.8",
05/20/26 11:32:10.844,"3100","1006","23.8","70.6","1005","74","21.8",
05/20/26 11:32:15.844,"3100","1006","23.8","70.5","1005","74","21.8",
05/20/26 11:32:20.844,"3100","1006","23.8","70.5","1005","74","21.8",
05/20/26 11:32:25.845,"3100","1006","23.8","70.6","1005","74","21.8",
05/20/26 11:32:30.844,"3100","1006","23.8","70.7","1005","74","21.8",
05/20/26 11:32:35.844,"3100","1006","23.8","70.7","1005","74","21.8",
05/20/26 11:32:40.844,"3000","1006","23.8","70.7","1005","74","21.8",
05/20/26 11:32:45.844,"3000","1006","23.8","70.6","1005","74","21.8",
05/20/26 11:32:50.844,"3000","1006","23.8","70.6","1005","74","21.8",
05/20/26 11:32:55.845,"3000","1006","23.8","70.6","1005","74","21.8",
05/20/26 11:33:00.844,"3000","1006","23.8","70.7","1005","75","21.8",
05/20/26 11:33:05.844,"3100","1006","23.9","70.8","1005","75","21.8",
05/20/26 11:33:10.845,"3100","1006","23.9","70.8","1005","75","21.8",
