,sensor [Auto],,,,,,,
,CO2,Pressure,Temperature,Humidity,TC-Pressure,TC-Humidity,TC-Temperature,
05/20/26 15:50:25.444,,"1002",,,,,,
05/20/26 15:50:25.685,,,"24.2",,,,,
05/20/26 15:50:25.936,,,,"62.6",,,,
05/20/26 15:50:26.193,,,,,"1001",,,
05/20/26 15:50:26.469,,,,,,"66",,
05/20/26 15:50:26.726,,,,,,,"22",
05/20/26 15:51:29.495,"44500","1002","24.2","62.4","1001","66","22",
05/20/26 15:51:59.494,"44500","1002","24.1","62.1","1001","66","22",
05/20/26 15:52:06.155,"44300","1002","24.1","62.1","1001","66","22",
05/20/26 15:52:13.495,"44600","1002","24.1","61.8","1001","65","22",
05/20/26 15:52:18.495,"44400","1002","24","61.7","1001","65","22",
05/20/26 15:52:23.496,"44300","1002","24","61.9","1001","65","22",
05/20/26 15:52:28.495,"44600","1002","24","62.1","1001","65","22",
05/20/26 15:52:33.496,"44700","1002","24.1","62.4","1001","65","22",
05/20/26 15:52:38.496,"44500","1002","24.1","62.5","1001","66","22",
05/20/26 15:52:43.496,"44600","1002","24.1","62.7","1001","66","22",
05/20/26 15:52:48.496,"44400","1002","24.1","62.5","1001","66","22",
05/20/26 15:52:53.495,"44300","1002","24.1","62.6","1001","66","22",
05/20/26 15:52:58.496,"44200","1002","24.1","62.6","1001","66","22",
05/20/26 15:53:03.496,"44200","1002","24.1","62.5","1001","66","22",
05/20/26 15:53:08.495,"44500","1002","24.1","62.5","1001","66","22",
05/20/26 15:53:13.496,"44500","1002","24.1","62.5","1001","66","22",
05/20/26 15:53:18.496,"44400","1002","24.1","62.2","1001","66","22",
05/20/26 15:53:23.496,"44400","1002","24.1","62.1","1001","66","22",
05/20/26 15:53:28.495,"44400","1002","24.1","62.1","1001","66","22",
05/20/26 15:53:33.496,"44600","1002","24.1","62.2","1001","66","22",
05/20/26 15:53:38.496,"44500","1002","24.2","62.5","1001","66","22",
05/20/26 15:53:43.496,"44500","1002","24.2","62.3","1001","66","22",
05/20/26 15:53:48.496,"44700","1002","24.2","62.4","1001","66","22",
05/20/26 15:53:53.496,"44500","1002","24.2","62.1","1001","66","22",
05/20/26 15:53:58.496,"44400","1002","24.2","62","1001","66","22",
05/20/26 15:54:03.533,"44400","1002","24.2","62","1001","66","22",
05/20/26 15:54:08.496,"44400","1002","24.2","62.1","1001","66","22",
05/20/26 15:54:13.496,"44400","1002","24.2","61.8","1001","66","22",
05/20/26 15:54:18.496,"44200","1002","24.2","62","1001","66","22",
05/20/26 15:54:23.496,"44400","1002","24.2","62","1001","66","22",
05/20/26 15:54:28.496,"44100","1002","24.2","62.1","1001","66","22",
05/20/26 15:54:33.496,"44500","1002","24.2","62.1","1001","66","22",
05/20/26 15:54:38.496,"44400","1002","24.2","62.1","1001","66","22",
05/20/26 15:54:43.496,"44600","1002","24.2","61.9","1001","66","22",
05/20/26 15:54:48.496,"44400","1002","24.2","61.9","1001","65","22",
05/20/26 15:54:53.496,"44600","1002","24.1","61.9","1001","65","22",
05/20/26 15:54:58.496,"44700","1002","24.1","61.9","1001","65","22",
05/20/26 15:55:03.496,"44700","1002","24.1","61.8","1001","65","22",
05/20/26 15:55:08.496,"44500","1002","24.1","62.1","1001","65","22",
05/20/26 15:55:13.496,"44400","1002","24.1","62.2","1001","65","22",
05/20/26 15:55:18.496,"44400","1002","24.1","62.4","1001","66","22",
05/20/26 15:55:23.497,"44500","1002","24.1","62.5","1001","66","22",
05/20/26 15:55:28.496,"44600","1002","24.2","62","1001","66","22",
05/20/26 15:55:33.496,"44300","1002","24.2","62.3","1001","66","22",
05/20/26 15:55:38.497,"44600","1002","24.2","62.2","1001","66","22.1",
