,sensor [Auto],,,,,,,
,CO2,Pressure,Temperature,Humidity,TC-Pressure,TC-Humidity,TC-Temperature,
05/20/26 15:07:52.024,,"1003",,,,,,
05/20/26 15:07:52.250,,,"24.8",,,,,
05/20/26 15:07:52.502,,,,"64.1",,,,
05/20/26 15:07:52.732,,,,,"1002",,,
05/20/26 15:07:52.962,,,,,,"68",,
05/20/26 15:07:53.203,,,,,,,"22.7",
05/20/26 15:08:14.232,"26800","1003","24.8","63.9","1002","68","22.7",
05/20/26 15:08:44.231,"26400","1003","24.8","63.2","1002","67","22.7",
05/20/26 15:09:14.231,"26000","1003","24.8","63.6","1002","67","22.7",
05/20/26 15:09:44.231,"25800","1003","24.7","63.3","1002","67","22.7",
05/20/26 15:10:14.231,"25500","1003","24.7","63.5","1002","67","22.6",
05/20/26 15:10:44.231,"28300","1003","24.7","63.6","1002","67","22.6",
05/20/26 15:11:14.231,"19800","1003","24.7","62.8","1002","66","22.6",
05/20/26 15:11:44.231,"4100","1003","24.6","63.6","1002","67","22.6",
05/20/26 15:12:14.232,"2100","1003","24.6","63.3","1002","67","22.6",
05/20/26 15:12:44.232,"1700","1003","24.5","63.1","1002","66","22.5",
05/20/26 15:13:14.231,"1400","1003","24.4","63.5","1002","66","22.5",
05/20/26 15:13:44.231,"1200","1003","24.5","63.5","1002","67","22.5",
05/20/26 15:14:14.232,"1100","1003","24.4","63.4","1002","66","22.5",
05/20/26 15:14:44.232,"1000","1003","24.4","63.4","1002","66","22.4",
05/20/26 15:15:14.231,"900","1003","24.4","63.5","1002","66","22.4",
05/20/26 15:15:44.231,"900","1003","24.3","63.1","1002","66","22.4",
05/20/26 15:16:14.232,"900","1003","24.2","63.5","1002","66","22.3",
05/20/26 15:16:44.232,"800","1003","24.2","63.8","1002","66","22.3",
05/20/26 15:17:14.232,"800","1003","24.2","63","1002","66","22.3",
05/20/26 15:17:44.231,"800","1003","24.1","63.8","1002","66","22.2",
05/20/26 15:18:14.231,"700","1003","24","64","1002","66","22.2",
05/20/26 15:18:44.232,"800","1003","24.1","63.9","1002","66","22.2",
05/20/26 15:19:14.232,"700","1003","24.1","63.9","1002","67","22.2",
05/20/26 15:19:44.232,"700","1003","24.2","63.7","1002","66","22.2",
05/20/26 15:20:14.232,"700","1003","24.1","63.8","1002","66","22.2",
05/20/26 15:20:44.232,"700","1003","24","63.6","1002","66","22.2",
05/20/26 15:21:14.232,"700","1003","24.1","64","1002","67","22.2",
05/20/26 15:21:44.231,"700","1003","24.1","63.5","1002","66","22.2",
05/20/26 15:22:14.231,"700","1003","24","63","1002","66","22.1",
05/20/26 15:22:44.232,"700","1002","23.9","63.9","1002","66","22",
05/20/26 15:23:14.232,"700","1002","24","63.5","1002","66","22.1",
05/20/26 15:23:36.226,"700","1002","24","64.1","1002","67","22.1",
05/20/26 15:23:39.919,"700","1003","24","63.9","1002","67","22.1",
05/20/26 15:23:44.919,"700","1003","24","63.5","1002","66","22.1",
05/20/26 15:23:49.919,"700","1002","24","63.8","1002","66","22.1",
05/20/26 15:23:54.919,"700","1003","24","63.9","1002","67","22.1",
05/20/26 15:23:59.919,"700","1003","24","64","1002","67","22.1",
05/20/26 15:24:04.919,"700","1003","24","63.8","1002","67","22.1",
05/20/26 15:24:09.919,"700","1003","24","63.7","1002","66","22",
05/20/26 15:24:14.919,"700","1003","24","63.9","1002","66","22.1",
05/20/26 15:24:19.919,"700","1003","24","63.5","1002","66","22.1",
05/20/26 15:24:24.919,"700","1002","24","63.7","1002","66","22",
05/20/26 15:24:29.919,"700","1003","24","63.7","1002","66","22",
05/20/26 15:24:34.920,"700","1003","24","63.6","1002","66","22.1",
05/20/26 15:24:39.919,"700","1003","24","63.8","1002","67","22.1",
05/20/26 15:24:44.919,"700","1003","24","63.6","1002","66","22.1",
05/20/26 15:24:49.919,"700","1003","24.1","63.5","1002","66","22.1",
05/20/26 15:24:54.920,"700","1003","24.1","63.7","1002","67","22.1",
05/20/26 15:24:59.920,"700","1003","24.1","63.9","1002","67","22.1",
05/20/26 15:25:04.919,"700","1003","24.1","64.1","1002","67","22.1",
05/20/26 15:25:09.919,"700","1003","24.1","63.7","1002","67","22.1",
05/20/26 15:25:14.919,"700","1003","24","63.6","1002","67","22.1",
05/20/26 15:25:19.920,"700","1003","24","63.4","1002","66","22.1",
