,sensor [Auto],,,,,,,
,CO2,Pressure,Temperature,Humidity,TC-Pressure,TC-Humidity,TC-Temperature,
05/22/26 9:39:13.258,,"1008",,,,,,
05/22/26 9:39:13.495,,,"20.8",,,,,
05/22/26 9:39:13.743,,,,"73.4",,,,
05/22/26 9:39:13.983,,,,,"1007",,,
05/22/26 9:39:14.227,,,,,,"69",,
05/22/26 9:39:14.473,,,,,,,"20.2",
05/22/26 9:46:02.138,"0","1008","22.2","67.7","1007","69","20.3",
05/22/26 9:46:07.135,"0","1008","22.2","68","1007","70","20.3",
05/22/26 9:46:12.136,"0","1008","22.2","67.9","1007","70","20.3",
05/22/26 9:46:17.136,"0","1008","22.2","67.9","1007","70","20.3",
05/22/26 9:46:22.136,"0","1008","22.2","67.7","1007","70","20.3",
05/22/26 9:46:27.136,"0","1008","22.2","67.2","1007","69","20.3",
05/22/26 9:46:32.136,"0","1008","22.2","67.3","1007","69","20.3",
05/22/26 9:46:37.135,"0","1008","22.3","67.5","1007","69","20.3",
05/22/26 9:46:42.135,"0","1008","22.3","67.4","1007","69","20.3",
05/22/26 9:46:47.136,"0","1008","22.3","67.3","1007","69","20.3",
05/22/26 9:46:52.136,"0","1008","22.3","67.3","1007","69","20.3",
05/22/26 9:46:57.136,"0","1008","22.3","67.1","1007","69","20.3",
05/22/26 9:47:02.136,"0","1008","22.3","67.1","1007","69","20.3",
05/22/26 9:47:07.136,"0","1008","22.3","67.2","1007","69","20.3",
05/22/26 9:47:12.136,"0","1008","22.3","67.4","1007","69","20.3",
05/22/26 9:47:17.136,"0","1008","22.3","67.5","1007","70","20.3",
05/22/26 9:47:22.137,"0","1008","22.3","67.1","1007","69","20.3",
05/22/26 9:47:27.136,"0","1008","22.3","66.9","1007","69","20.3",
05/22/26 9:47:32.136,"0","1008","22.3","66.6","1007","69","20.3",
05/22/26 9:47:37.136,"0","1008","22.3","66.6","1007","69","20.3",
05/22/26 9:47:42.136,"0","1008","22.3","66.6","1007","69","20.3",
05/22/26 9:47:47.136,"0","1008","22.3","66.7","1007","69","20.3",
05/22/26 9:47:52.136,"0","1008","22.3","66.8","1007","69","20.3",
05/22/26 9:47:57.137,"0","1008","22.3","66.9","1007","69","20.3",
05/22/26 9:48:02.136,"0","1008","22.3","67.5","1007","70","20.3",
05/22/26 9:48:07.137,"0","1008","22.3","67.4","1007","70","20.3",
05/22/26 9:48:12.136,"0","1008","22.3","67.2","1007","69","20.3",
05/22/26 9:48:17.136,"0","1008","22.4","67.2","1007","69","20.3",
05/22/26 9:48:22.136,"0","1008","22.4","67.4","1007","70","20.3",
05/22/26 9:48:27.136,"0","1008","22.4","67.1","1007","70","20.3",
05/22/26 9:48:32.137,"0","1008","22.4","67.4","1007","70","20.3",
05/22/26 9:48:37.137,"0","1008","22.4","67.4","1007","70","20.3",
05/22/26 9:48:42.137,"0","1008","22.4","67.6","1007","70","20.3",
05/22/26 9:48:47.137,"0","1008","22.4","67.2","1007","70","20.3",
05/22/26 9:48:52.137,"0","1008","22.4","67.1","1007","70","20.3",
05/22/26 9:48:57.136,"0","1008","22.4","67.1","1007","70","20.3",
