,sensor [Auto],,,,
,CO2,Pressure,Temperature,Humidity,
05/22/26 9:52:40.823,,"1008",,,
05/22/26 9:52:41.110,,,"22.5",,
05/22/26 9:52:41.376,,,,"58.4",
05/22/26 9:58:53.378,"1490","1007","23","56.7",
05/22/26 9:59:23.374,"1050","1008","23.1","56.8",
05/22/26 9:59:53.372,"840","1008","23.2","56.5",
05/22/26 9:59:58.972,"810","1008","23.2","56.5",
05/22/26 10:00:21.045,"770","1007","23.3","56.4",
05/22/26 10:00:26.040,"750","1008","23.3","56.6",
05/22/26 10:00:31.039,"720","1007","23.2","56.3",
05/22/26 10:00:36.039,"700","1008","23.3","56.1",
05/22/26 10:00:41.040,"710","1008","23.3","56",
05/22/26 10:00:46.039,"670","1007","23.2","56.1",
05/22/26 10:00:51.040,"670","1008","23.2","56.2",
05/22/26 10:00:56.040,"670","1007","23.2","56.3",
05/22/26 10:01:01.040,"670","1007","23.2","56.1",
05/22/26 10:01:06.039,"630","1008","23.2","56",
05/22/26 10:01:11.040,"630","1008","23.2","55.5",
05/22/26 10:01:16.040,"650","1008","23.2","55.7",
05/22/26 10:01:21.040,"640","1008","23.2","55.8",
05/22/26 10:01:26.040,"610","1007","23.3","55.7",
05/22/26 10:01:31.040,"590","1008","23.3","56",
05/22/26 10:01:36.040,"590","1008","23.3","56",
05/22/26 10:01:41.040,"590","1008","23.3","55.8",
05/22/26 10:01:46.040,"560","1008","23.3","55.8",
05/22/26 10:01:51.040,"580","1008","23.3","55.8",
05/22/26 10:01:56.040,"540","1008","23.2","55.8",
05/22/26 10:02:01.041,"540","1008","23.2","55.9",
05/22/26 10:02:06.040,"540","1008","23.2","55.7",
05/22/26 10:02:11.040,"530","1008","23.2","55.8",
05/22/26 10:02:16.040,"520","1008","23.2","55.8",
05/22/26 10:02:21.040,"520","1008","23.2","56",
05/22/26 10:02:26.040,"520","1008","23.2","56",
05/22/26 10:02:31.040,"520","1008","23.3","56",
05/22/26 10:02:36.041,"500","1008","23.3","56.1",
05/22/26 10:02:41.041,"520","1008","23.3","56.4",
05/22/26 10:02:46.041,"530","1008","23.3","56.1",
05/22/26 10:02:51.040,"490","1008","23.3","55.7",
05/22/26 10:02:56.040,"520","1008","23.3","55.8",
05/22/26 10:03:01.041,"500","1008","23.3","56",
05/22/26 10:03:06.041,"480","1008","23.3","55.9",
05/22/26 10:03:11.041,"500","1008","23.3","56",
05/22/26 10:03:16.041,"490","1008","23.4","55.9",
05/22/26 10:03:21.041,"510","1008","23.4","55.8",
05/22/26 10:03:26.041,"470","1008","23.4","55.8",
05/22/26 10:03:31.041,"490","1008","23.4","55.6",
05/22/26 10:03:36.041,"500","1008","23.3","55.7",
05/22/26 10:03:41.041,"490","1008","23.3","55.7",
05/22/26 10:03:46.041,"490","1008","23.3","55.7",
05/22/26 10:03:51.041,"460","1008","23.3","55.8",
05/22/26 10:03:56.041,"470","1007","23.3","55.7",
05/22/26 10:04:01.041,"470","1008","23.3","55.4",
05/22/26 10:04:06.041,"450","1008","23.3","55.6",
05/22/26 10:04:11.041,"460","1008","23.3","55.9",
05/22/26 10:04:16.041,"480","1008","23.3","55.6",
05/22/26 10:04:21.041,"470","1008","23.3","55.6",
05/22/26 10:04:26.041,"460","1008","23.3","55.5",
05/22/26 10:04:31.041,"450","1008","23.4","55.4",
05/22/26 10:04:36.041,"420","1008","23.4","55.3",
05/22/26 10:04:41.041,"460","1008","23.4","55.6",
05/22/26 10:04:46.041,"450","1008","23.4","55.7",
05/22/26 10:04:51.041,"440","1008","23.4","55.6",
05/22/26 10:04:56.042,"440","1008","23.4","55.8",
05/22/26 10:05:01.042,"430","1008","23.4","55.8",
05/22/26 10:05:06.041,"430","1008","23.4","55.8",
05/22/26 10:05:11.041,"440","1008","23.3","55.8",
05/22/26 10:05:16.041,"450","1008","23.3","55.6",
05/22/26 10:05:21.042,"450","1008","23.3","55.6",
05/22/26 10:05:26.041,"440","1008","23.4","55.6",
05/22/26 10:05:31.042,"460","1008","23.4","55.4",
05/22/26 10:05:36.042,"450","1008","23.4","55.8",
05/22/26 10:05:41.042,"420","1008","23.4","55.7",
05/22/26 10:05:46.042,"420","1008","23.4","56",
05/22/26 10:05:51.042,"420","1008","23.4","55.8",
05/22/26 10:05:56.042,"410","1008","23.4","55.8",
05/22/26 10:06:01.041,"420","1008","23.4","55.6",
05/22/26 10:06:06.042,"400","1008","23.4","55.8",
05/22/26 10:06:11.042,"400","1008","23.4","56",
05/22/26 10:06:16.042,"400","1008","23.4","56",
05/22/26 10:06:21.042,"400","1008","23.4","56.1",
05/22/26 10:06:26.042,"400","1008","23.4","56.3",
05/22/26 10:06:31.042,"410","1008","23.4","56",
05/22/26 10:06:36.042,"410","1008","23.4","56",
05/22/26 10:06:41.042,"410","1008","23.4","55.5",
05/22/26 10:06:46.042,"400","1008","23.5","55.6",
05/22/26 10:06:51.043,"400","1008","23.4","55.4",
05/22/26 10:06:56.042,"410","1008","23.4","55.3",
05/22/26 10:07:01.043,"430","1008","23.4","55.2",
05/22/26 10:07:06.042,"410","1008","23.4","55.3",
05/22/26 10:07:11.042,"400","1008","23.4","55.2",
05/22/26 10:07:16.042,"400","1008","23.4","55.4",
05/22/26 10:07:21.042,"420","1008","23.4","55.5",
05/22/26 10:07:26.042,"430","1008","23.4","55.3",
05/22/26 10:07:31.042,"430","1008","23.4","55.5",
05/22/26 10:07:36.043,"430","1008","23.4","55.7",
05/22/26 10:07:41.043,"430","1008","23.4","55.8",
05/22/26 10:07:46.043,"430","1008","23.4","55.6",
05/22/26 10:07:51.043,"410","1008","23.4","55.4",
05/22/26 10:07:56.042,"400","1008","23.4","55.4",
05/22/26 10:08:01.043,"380","1008","23.4","55.5",
05/22/26 10:08:06.043,"340","1008","23.4","55.3",
05/22/26 10:08:11.043,"360","1008","23.4","55.3",
05/22/26 10:08:16.043,"380","1008","23.6","63.3",
05/22/26 10:08:21.043,"370","1008","23.5","57.4",
05/22/26 10:08:26.043,"370","1008","23.6","56",
05/22/26 10:08:31.043,"410","1008","23.5","55.7",
05/22/26 10:08:36.043,"370","1008","23.5","55.8",
05/22/26 10:08:41.043,"380","1008","23.5","55.7",
05/22/26 10:08:46.043,"370","1008","23.5","55.2",
05/22/26 10:08:51.043,"400","1008","23.5","55.2",
05/22/26 10:08:56.043,"400","1008","23.4","55.2",
05/22/26 10:09:01.043,"370","1008","23.4","56",
05/22/26 10:09:06.043,"400","1008","23.5","57.7",
05/22/26 10:09:11.043,"400","1008","23.6","59.5",
05/22/26 10:09:16.043,"370","1008","23.7","62",
05/22/26 10:09:21.043,"380","1008","23.7","58.3",
05/22/26 10:09:26.044,"350","1008","23.7","56.3",
05/22/26 10:09:31.043,"360","1008","23.7","56.4",
05/22/26 10:09:36.044,"370","1008","24","69.7",
05/22/26 10:09:41.043,"410","1008","24.4","73",
05/22/26 10:09:46.043,"410","1008","24.6","66.6",
05/22/26 10:09:51.044,"360","1008","24.4","59.9",
05/22/26 10:09:56.043,"360","1008","24.3","59.6",
05/22/26 10:10:01.044,"360","1008","24.3","58.6",
05/22/26 10:10:06.043,"360","1008","24.3","55.9",
05/22/26 10:10:11.043,"380","1008","24.2","54.9",
05/22/26 10:10:16.044,"370","1008","24.2","55",
05/22/26 10:10:21.044,"370","1008","24.1","54.8",
05/22/26 10:10:26.044,"390","1008","24.1","54.7",
05/22/26 10:10:31.044,"380","1008","24.1","54.6",
05/22/26 10:10:36.044,"410","1008","24","54.4",
05/22/26 10:10:41.044,"400","1008","24","54.5",
05/22/26 10:10:46.044,"400","1008","24","54.3",
05/22/26 10:10:51.043,"370","1008","24","54.2",
05/22/26 10:10:56.044,"410","1008","24","54.1",
05/22/26 10:11:01.132,"400","1008","23.9","54.4",
05/22/26 10:11:06.251,"410","1008","23.9","54.5",
05/22/26 10:11:11.322,"410","1008","23.8","54.3",
