,sensor [Auto],,,,
,CO2,Pressure,Temperature,Humidity,
05/22/26 10:43:54.955,,"1008",,,
05/22/26 10:43:55.215,,,"23.6",,
05/22/26 10:43:55.482,,,,"55.5",
05/22/26 10:44:48.362,"480","1008","23.6","55.3",
05/22/26 10:45:18.356,"460","1008","23.6","55.6",
05/22/26 10:45:48.356,"500","1008","23.6","55.2",
05/22/26 10:46:18.357,"470","1008","23.5","55.3",
05/22/26 10:46:48.357,"460","1008","23.6","55.3",
05/22/26 10:47:18.357,"540","1008","23.6","55.3",
05/22/26 10:47:48.357,"530","1008","23.6","55.1",
05/22/26 10:48:18.347,"530","1008","23.6","55.1",
05/22/26 10:48:48.354,"530","1008","23.6","54.4",
05/22/26 10:49:18.351,"500","1008","23.6","55.1",
05/22/26 10:49:41.250,"500","1008","23.6","54.7",
05/22/26 10:55:49.973,"111270","1008","23.5","54.4",
05/22/26 10:55:54.971,"111420","1008","23.5","54.5",
05/22/26 10:55:59.967,"111420","1008","23.5","54.3",
05/22/26 10:56:04.966,"111130","1008","23.5","54.4",
05/22/26 10:56:09.967,"110840","1008","23.5","54.4",
05/22/26 10:56:14.967,"110840","1008","23.5","54.3",
05/22/26 10:56:19.975,"110700","1008","23.5","54.5",
05/22/26 10:56:24.973,"111130","1008","23.5","54.3",
05/22/26 10:56:29.980,"111270","1008","23.5","54.3",
05/22/26 10:56:34.978,"111270","1008","23.5","54.3",
05/22/26 10:56:39.975,"111270","1008","23.5","54.3",
05/22/26 10:56:44.968,"111270","1008","23.5","54.2",
05/22/26 10:56:49.975,"111270","1008","23.5","54.4",
05/22/26 10:56:54.979,"111270","1008","23.5","54.4",
05/22/26 10:56:59.969,"111430","1008","23.4","54.6",
05/22/26 10:57:04.978,"111420","1008","23.4","54.5",
05/22/26 10:57:09.970,"111570","1008","23.5","54.6",
05/22/26 10:57:14.976,"111710","1008","23.4","54.4",
05/22/26 10:57:19.979,"111270","1008","23.5","54.4",
05/22/26 10:57:24.979,"111430","1008","23.5","54.8",
05/22/26 10:57:29.976,"111270","1008","23.5","54.8",
05/22/26 10:57:34.973,"111430","1008","23.5","54.7",
05/22/26 10:57:39.974,"111280","1008","23.5","54.8",
05/22/26 10:57:44.981,"111570","1008","23.5","54.7",
05/22/26 10:57:49.981,"111570","1008","23.5","54.4",
05/22/26 10:57:54.974,"111570","1008","23.5","54.4",
05/22/26 10:57:59.979,"111860","1008","23.5","54.2",
05/22/26 10:58:04.978,"112290","1008","23.5","54.6",
05/22/26 10:58:09.974,"111860","1008","23.5","55.6",
05/22/26 10:58:14.977,"112290","1008","23.5","55.4",
05/22/26 10:58:19.974,"112730","1008","23.5","55",
05/22/26 10:58:24.966,"112880","1008","23.5","54.7",
05/22/26 10:58:29.975,"112290","1008","23.5","54.5",
05/22/26 10:58:34.978,"111860","1008","23.5","54.5",
05/22/26 10:58:39.972,"112440","1008","23.5","54.8",
05/22/26 10:58:44.981,"113030","1008","23.5","54.7",
05/22/26 10:58:49.980,"112440","1008","23.5","54.7",
05/22/26 10:58:54.981,"112150","1008","23.5","54.7",
