,sensor [Auto],,,,,,,
,CO2,Pressure,Temperature,Humidity,TC-Pressure,TC-Humidity,TC-Temperature,
07/10/26 14:42:01.597,,"1009",,,,,,
07/10/26 14:42:01.819,,,"26.9",,,,,
07/10/26 14:42:02.068,,,,"59.2",,,,
07/10/26 14:42:02.289,,,,,"1005",,,
07/10/26 14:42:02.540,,,,,,"72",,
07/10/26 14:42:02.790,,,,,,,"23.2",
07/10/26 14:42:28.595,"0","1009","26.9","59.1","1005","72","23.2",
07/10/26 14:42:33.594,"0","1009","26.9","59.1","1005","72","23.2",
07/10/26 14:42:38.594,"0","1009","26.9","59.1","1005","72","23.2",
07/10/26 14:42:43.595,"0","1009","26.9","59.1","1005","72","23.2",
07/10/26 14:42:48.595,"0","1009","26.9","59.1","1005","72","23.2",
07/10/26 14:42:53.594,"0","1009","26.9","59.1","1005","72","23.2",
07/10/26 14:42:58.594,"0","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:43:03.594,"0","1009","26.9","59.1","1005","72","23.2",
07/10/26 14:43:08.594,"0","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:43:13.594,"0","1009","26.9","59.1","1005","72","23.2",
07/10/26 14:43:18.594,"0","1009","26.8","59.2","1005","72","23.2",
07/10/26 14:43:23.594,"0","1009","26.8","59.2","1005","72","23.2",
07/10/26 14:43:28.594,"0","1009","26.8","59.2","1005","72","23.2",
07/10/26 14:43:33.595,"0","1009","26.8","59.2","1005","72","23.2",
07/10/26 14:43:38.595,"0","1009","26.9","59.2","1005","72","23.2",
07/10/26 14:43:43.594,"0","1009","26.9","59.2","1005","72","23.2",
07/10/26 14:43:48.595,"0","1008","26.9","59.2","1005","72","23.2",
07/10/26 14:43:53.595,"0","1009","26.9","59.1","1005","72","23.2",
07/10/26 14:43:58.595,"0","1009","26.9","59.1","1005","72","23.2",
07/10/26 14:44:03.595,"0","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:44:08.595,"0","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:44:13.595,"0","1009","26.9","59.1","1005","72","23.2",
07/10/26 14:44:18.595,"0","1009","26.9","59.1","1005","72","23.2",
07/10/26 14:44:23.595,"0","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:44:28.595,"0","1009","26.9","59.1","1005","72","23.2",
07/10/26 14:44:33.597,"0","1009","26.9","59.1","1005","72","23.2",
07/10/26 14:44:38.597,"0","1009","26.9","59.1","1005","72","23.2",
07/10/26 14:44:43.597,"0","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:44:48.597,"1800","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:44:53.596,"9500","1009","26.9","59.1","1005","72","23.2",
07/10/26 14:44:58.597,"22900","1009","26.9","59.1","1005","72","23.2",
07/10/26 14:45:03.597,"41300","1009","26.9","59.1","1005","72","23.2",
07/10/26 14:45:08.597,"60500","1009","26.9","59.1","1005","72","23.2",
07/10/26 14:45:13.597,"81900","1009","26.9","59.2","1005","72","23.2",
07/10/26 14:45:18.597,"96000","1008","26.9","59.2","1005","72","23.2",
07/10/26 14:45:23.597,"106400","1009","26.8","59.2","1005","72","23.2",
07/10/26 14:45:28.597,"113200","1009","26.8","59.2","1005","72","23.2",
07/10/26 14:45:33.597,"118500","1009","26.9","59.2","1005","72","23.2",
07/10/26 14:45:38.597,"122000","1009","26.9","59.2","1005","72","23.2",
07/10/26 14:45:43.597,"124500","1008","26.8","59.2","1005","72","23.2",
07/10/26 14:45:48.597,"126000","1008","26.8","59.2","1005","72","23.2",
07/10/26 14:45:53.597,"127000","1008","26.9","59.2","1005","72","23.2",
07/10/26 14:45:58.597,"127000","1008","26.9","59.2","1005","72","23.2",
07/10/26 14:46:03.598,"128000","1009","26.9","59.2","1005","72","23.2",
07/10/26 14:46:08.597,"127500","1009","26.9","59.2","1005","72","23.2",
07/10/26 14:46:13.597,"128500","1009","26.9","59.1","1005","72","23.2",
07/10/26 14:46:18.597,"129600","1009","26.9","59.1","1005","72","23.2",
07/10/26 14:46:23.598,"130100","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:46:28.597,"130600","1009","26.9","59.1","1005","72","23.2",
07/10/26 14:46:33.597,"131200","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:46:38.598,"130900","1009","26.9","59.1","1005","72","23.2",
07/10/26 14:46:43.597,"131500","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:46:48.597,"132000","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:46:53.598,"132000","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:46:58.598,"132300","1009","26.9","59.1","1005","72","23.2",
07/10/26 14:47:03.597,"131700","1009","26.9","59.1","1005","72","23.2",
07/10/26 14:47:08.597,"132800","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:47:13.597,"132000","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:47:18.597,"131700","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:47:23.598,"131400","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:47:28.598,"131700","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:47:33.598,"132200","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:47:38.597,"131700","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:47:43.598,"131400","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:47:48.597,"132000","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:47:53.597,"132500","1008","26.9","59.2","1005","72","23.2",
07/10/26 14:47:58.597,"132200","1009","26.9","59.2","1005","72","23.2",
07/10/26 14:48:03.598,"132000","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:48:08.598,"132500","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:48:13.598,"132800","1008","26.9","59.2","1005","72","23.2",
07/10/26 14:48:18.597,"132000","1008","26.9","59.2","1005","72","23.2",
07/10/26 14:48:23.598,"132200","1008","26.9","59.2","1005","72","23.2",
07/10/26 14:48:28.598,"132200","1008","26.9","59.2","1005","72","23.2",
07/10/26 14:48:33.598,"132500","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:48:38.598,"132800","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:48:43.599,"133600","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:48:48.598,"132500","1009","26.9","59.1","1005","72","23.2",
07/10/26 14:48:53.598,"132800","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:48:58.599,"132500","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:49:03.598,"133300","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:49:08.599,"132800","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:49:13.598,"132800","1008","26.9","59.2","1005","72","23.2",
07/10/26 14:49:18.599,"133100","1008","26.9","59.2","1005","72","23.2",
07/10/26 14:49:23.599,"133100","1008","26.9","59.2","1005","72","23.2",
07/10/26 14:49:28.599,"133600","1008","26.9","59.2","1005","72","23.2",
07/10/26 14:49:33.599,"133900","1008","26.9","59.2","1005","72","23.2",
07/10/26 14:49:38.599,"133300","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:49:43.599,"134200","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:49:48.599,"133300","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:49:53.599,"135500","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:49:58.599,"134200","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:50:03.599,"133600","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:50:08.598,"133900","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:50:13.599,"134200","1008","26.9","59.3","1005","72","23.2",
07/10/26 14:50:18.599,"133900","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:50:23.599,"133600","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:50:28.599,"133100","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:50:33.599,"130900","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:50:38.599,"130600","1008","26.9","59.2","1005","72","23.2",
07/10/26 14:50:43.599,"129800","1008","26.8","59.2","1005","72","23.2",
07/10/26 14:50:48.599,"129200","1008","26.8","59.2","1005","72","23.2",
07/10/26 14:50:53.599,"129200","1008","26.8","59.2","1005","72","23.2",
07/10/26 14:50:58.599,"129200","1008","26.9","59.2","1005","72","23.2",
07/10/26 14:51:03.600,"129200","1008","26.9","59.2","1005","72","23.2",
07/10/26 14:51:08.600,"129200","1008","26.9","59.2","1005","72","23.2",
07/10/26 14:51:13.599,"128700","1008","26.9","59.2","1005","72","23.2",
07/10/26 14:51:18.599,"128400","1008","26.9","59.2","1005","72","23.2",
07/10/26 14:51:23.599,"128400","1008","26.9","59.2","1005","72","23.3",
07/10/26 14:51:28.599,"128700","1008","26.9","59.2","1005","72","23.2",
07/10/26 14:51:33.600,"128400","1008","26.9","59.2","1005","72","23.2",
07/10/26 14:51:38.599,"128700","1008","26.9","59.2","1005","72","23.2",
07/10/26 14:51:43.600,"128900","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:51:48.600,"130300","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:51:53.599,"132500","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:51:58.600,"134400","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:52:03.599,"135800","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:52:08.600,"136600","1008","26.9","59.1","1005","72","23.3",
07/10/26 14:52:13.599,"136900","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:52:18.600,"137500","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:52:23.600,"137500","1008","26.9","59.1","1005","72","23.3",
07/10/26 14:52:28.600,"138400","1008","26.9","59.1","1005","72","23.3",
07/10/26 14:52:33.600,"138100","1008","26.9","59.1","1005","72","23.3",
07/10/26 14:52:38.600,"138700","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:52:43.600,"138400","1008","26.9","59.1","1005","72","23.3",
07/10/26 14:52:48.600,"138100","1008","26.9","59.1","1005","72","23.3",
07/10/26 14:52:53.600,"138700","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:52:58.600,"138700","1008","26.9","59.1","1005","72","23.3",
07/10/26 14:53:03.600,"139300","1008","26.9","59.1","1005","72","23.3",
07/10/26 14:53:08.600,"138100","1008","26.9","59.1","1005","72","23.3",
07/10/26 14:53:13.600,"139300","1008","26.9","59.1","1005","72","23.3",
07/10/26 14:53:18.600,"139600","1008","26.9","59.1","1005","72","23.2",
07/10/26 14:53:23.600,"139600","1008","26.9","59.1","1005","72","23.3",
07/10/26 14:53:28.600,"139900","1008","26.9","59","1005","72","23.3",
07/10/26 14:53:33.600,"139600","1008","26.9","59.1","1005","72","23.3",
07/10/26 14:53:38.600,"138700","1008","26.9","59.1","1005","72","23.3",
07/10/26 14:53:43.600,"139300","1008","26.9","59","1005","72","23.3",
07/10/26 14:53:48.600,"139600","1008","26.9","59","1005","72","23.3",
07/10/26 14:53:53.600,"139300","1008","26.9","59","1005","72","23.3",
07/10/26 14:53:58.600,"139600","1008","26.9","59","1005","72","23.3",
07/10/26 14:54:03.601,"139600","1008","26.9","59","1005","72","23.3",
07/10/26 14:54:08.600,"139600","1008","26.9","59","1005","72","23.3",
07/10/26 14:54:13.601,"139900","1008","26.9","59","1005","72","23.3",
07/10/26 14:54:18.601,"138700","1008","26.9","59","1005","72","23.3",
07/10/26 14:54:23.600,"138700","1008","26.9","59","1005","72","23.3",
07/10/26 14:54:28.601,"139600","1008","26.9","59","1005","72","23.3",
07/10/26 14:54:33.601,"139600","1008","26.9","59","1005","72","23.3",
07/10/26 14:54:38.600,"139300","1008","26.9","59","1005","72","23.3",
07/10/26 14:54:43.601,"138700","1008","26.9","59","1005","72","23.3",
07/10/26 14:54:48.601,"139300","1008","26.9","59","1005","72","23.3",
07/10/26 14:54:53.601,"139600","1008","26.9","59","1005","72","23.3",
07/10/26 14:54:58.601,"139000","1008","26.9","59","1005","72","23.3",
07/10/26 14:55:03.600,"139600","1008","26.9","59","1005","72","23.3",
07/10/26 14:55:08.601,"140200","1008","26.9","59","1005","72","23.3",
07/10/26 14:55:13.600,"141400","1008","26.9","59","1005","72","23.3",
07/10/26 14:55:18.601,"141100","1008","26.9","59","1005","72","23.3",
07/10/26 14:55:23.601,"140200","1008","26.9","59","1005","72","23.3",
07/10/26 14:55:28.601,"140800","1008","26.9","59","1005","72","23.3",
07/10/26 14:55:33.601,"139600","1008","26.9","59","1005","72","23.3",
