,sensor [Auto],,,,
,CO2,Pressure,Temperature,Humidity,
07/10/26 14:36:58.495,,"1006",,,
07/10/26 14:36:58.728,,,"25.7",,
07/10/26 14:36:58.988,,,,"59.5",
07/10/26 14:37:27.726,"40","1006","25.6","59.5",
07/10/26 14:37:32.721,"30","1006","25.7","59.4",
07/10/26 14:37:37.721,"10","1006","25.7","59.5",
07/10/26 14:37:42.722,"20","1006","25.7","59.5",
07/10/26 14:37:47.721,"10","1006","25.7","59.5",
07/10/26 14:37:52.722,"0","1006","25.7","59.8",
07/10/26 14:37:57.722,"10","1006","25.7","60.1",
07/10/26 14:38:02.722,"20","1006","25.6","60",
07/10/26 14:38:07.721,"10","1006","25.7","59.7",
07/10/26 14:38:12.722,"10","1006","25.6","59.7",
07/10/26 14:38:17.722,"10","1006","25.6","59.6",
07/10/26 14:38:22.722,"20","1006","25.7","59.4",
07/10/26 14:38:27.721,"20","1006","25.6","59.6",
07/10/26 14:38:32.722,"20","1006","25.6","59.7",
07/10/26 14:38:37.722,"10","1006","25.6","59.7",
07/10/26 14:38:42.722,"0","1006","25.6","59.7",
07/10/26 14:38:47.722,"0","1006","25.7","59.7",
07/10/26 14:38:52.722,"0","1006","25.6","59.7",
07/10/26 14:38:57.721,"0","1006","25.6","59.7",
07/10/26 14:39:02.722,"0","1006","25.6","59.8",
07/10/26 14:39:07.722,"0","1006","25.6","59.7",
07/10/26 14:39:12.722,"0","1006","25.6","60.3",
07/10/26 14:39:17.722,"10","1006","25.7","59.9",
07/10/26 14:39:22.722,"10","1006","25.6","59.8",
07/10/26 14:39:27.722,"0","1006","25.7","59.8",
07/10/26 14:39:32.686,"0","1006","25.7","59.6",
07/10/26 14:42:09.902,"40","1006","25.7","59.3",
07/10/26 14:42:14.901,"40","1006","25.7","59.5",
07/10/26 14:42:19.901,"20","1006","25.7","59.5",
07/10/26 14:42:24.902,"30","1006","25.7","59.5",
07/10/26 14:42:29.902,"20","1006","25.7","59.5",
07/10/26 14:42:34.901,"30","1006","25.7","59.4",
07/10/26 14:42:39.901,"20","1006","25.7","59.4",
07/10/26 14:42:44.902,"20","1006","25.7","59.4",
07/10/26 14:42:49.901,"30","1006","25.7","59.4",
07/10/26 14:42:54.901,"70","1006","25.7","59.4",
07/10/26 14:42:59.902,"130","1006","25.7","59.4",
07/10/26 14:43:04.901,"520","1006","25.7","59.4",
07/10/26 14:43:09.902,"2220","1006","25.7","59.4",
07/10/26 14:43:14.902,"6010","1006","25.7","59.3",
07/10/26 14:43:19.901,"13660","1006","25.7","59.3",
07/10/26 14:43:24.901,"24890","1006","25.7","59.4",
07/10/26 14:43:29.902,"38190","1006","25.7","59.4",
07/10/26 14:43:34.902,"53090","1006","25.7","59.4",
07/10/26 14:43:39.901,"68010","1006","25.7","59.4",
07/10/26 14:43:44.902,"81550","1006","25.7","59.4",
07/10/26 14:43:49.902,"93810","1006","25.7","59.4",
07/10/26 14:43:54.902,"104020","1006","25.7","59.3",
07/10/26 14:43:59.902,"112400","1006","25.7","59.3",
07/10/26 14:44:04.902,"118310","1006","25.7","59.3",
07/10/26 14:44:09.902,"123100","1006","25.7","59.3",
07/10/26 14:44:14.902,"126940","1006","25.7","59.3",
07/10/26 14:44:19.902,"129890","1006","25.7","59.3",
07/10/26 14:44:24.903,"132540","1006","25.7","59.3",
07/10/26 14:44:29.902,"134520","1006","25.7","59.3",
07/10/26 14:44:34.903,"136000","1006","25.7","59.3",
07/10/26 14:44:39.902,"136560","1006","25.7","59.3",
07/10/26 14:44:44.903,"138050","1006","25.7","59.3",
07/10/26 14:44:49.902,"138790","1006","25.7","59.3",
07/10/26 14:44:54.903,"139530","1006","25.7","59.3",
07/10/26 14:44:59.901,"139930","1006","25.7","59.3",
07/10/26 14:45:04.903,"140520","1006","25.7","59.3",
07/10/26 14:45:09.903,"140900","1006","25.7","59.4",
07/10/26 14:45:14.903,"140710","1006","25.7","59.4",
07/10/26 14:45:19.903,"141300","1006","25.7","59.4",
07/10/26 14:45:24.902,"142280","1006","25.7","59.4",
07/10/26 14:45:29.903,"142670","1006","25.7","59.5",
07/10/26 14:45:34.903,"142090","1006","25.7","59.5",
07/10/26 14:45:39.903,"142870","1006","25.7","59.5",
07/10/26 14:45:44.903,"142670","1006","25.7","59.4",
07/10/26 14:45:49.903,"143460","1006","25.7","59.4",
07/10/26 14:45:54.903,"143650","1006","25.7","59.5",
07/10/26 14:45:59.903,"144440","1006","25.7","59.4",
07/10/26 14:46:04.903,"144830","1006","25.7","59.4",
07/10/26 14:46:09.903,"145220","1006","25.7","59.5",
07/10/26 14:46:14.903,"145810","1006","25.7","59.5",
07/10/26 14:46:19.903,"147260","1006","25.7","59.5",
07/10/26 14:46:24.903,"149740","1006","25.7","59.4",
07/10/26 14:46:29.904,"150150","1006","25.7","59.4",
07/10/26 14:46:34.904,"150570","1006","25.7","59.4",
07/10/26 14:46:39.904,"150970","1006","25.7","59.4",
07/10/26 14:46:44.903,"149730","1006","25.7","59.4",
07/10/26 14:46:49.903,"150970","1006","25.7","59.3",
07/10/26 14:46:54.903,"149730","1006","25.7","59.3",
07/10/26 14:46:59.903,"150350","1006","25.7","59.3",
07/10/26 14:47:04.904,"150970","1006","25.7","59.3",
07/10/26 14:47:09.903,"150970","1006","25.7","59.4",
07/10/26 14:47:14.903,"149940","1006","25.7","59.4",
07/10/26 14:47:19.903,"150150","1006","25.7","59.3",
07/10/26 14:47:24.904,"150770","1006","25.7","59.3",
07/10/26 14:47:29.904,"151390","1006","25.7","59.4",
07/10/26 14:47:34.903,"151800","1006","25.7","59.4",
07/10/26 14:47:39.904,"151590","1006","25.7","59.3",
07/10/26 14:47:44.904,"151590","1006","25.7","59.3",
07/10/26 14:47:49.904,"151800","1006","25.7","59.3",
07/10/26 14:47:54.904,"151180","1006","25.7","59.3",
07/10/26 14:47:59.904,"150970","1006","25.7","59.4",
07/10/26 14:48:04.904,"151800","1006","25.7","59.4",
07/10/26 14:48:09.904,"152000","1006","25.7","59.3",
07/10/26 14:48:14.904,"151800","1006","25.7","59.3",
07/10/26 14:48:19.903,"150970","1006","25.8","59.2",
07/10/26 14:48:24.904,"151590","1006","25.8","59.2",
07/10/26 14:48:29.904,"151390","1006","25.8","59.2",
07/10/26 14:48:34.904,"150970","1006","25.7","59.3",
07/10/26 14:48:39.904,"150970","1006","25.7","59.5",
07/10/26 14:48:44.904,"151800","1006","25.7","59.6",
07/10/26 14:48:49.904,"151590","1006","25.7","59.4",
07/10/26 14:48:54.904,"152420","1006","25.7","59.5",
07/10/26 14:48:59.905,"152000","1006","25.7","59.4",
07/10/26 14:49:04.904,"151590","1006","25.8","59.3",
07/10/26 14:49:09.905,"151800","1006","25.7","59.3",
07/10/26 14:49:14.904,"153070","1006","25.7","59.3",
07/10/26 14:49:19.904,"152850","1006","25.7","59.3",
07/10/26 14:49:24.904,"153510","1006","25.7","59.4",
07/10/26 14:49:29.904,"152210","1006","25.7","59.4",
07/10/26 14:49:34.905,"152000","1006","25.7","59.5",
07/10/26 14:49:39.905,"152850","1006","25.7","59.5",
07/10/26 14:49:44.905,"141690","1006","25.7","59.5",
07/10/26 14:49:49.905,"96800","1006","25.7","59.4",
07/10/26 14:49:54.905,"57330","1006","25.7","59.4",
07/10/26 14:49:59.905,"33850","1006","25.8","59.3",
