Time,,,Concentration
05/20/26 17:13:12.698,,,0
05/20/26 17:13:28.301,,,0
05/20/26 17:13:44.086,,,0
05/20/26 17:13:59.781,,,0
05/20/26 17:14:15.500,,,0
05/20/26 17:14:31.305,,,0
05/20/26 17:14:47.104,,,0
05/20/26 17:15:03.398,,,0
05/20/26 17:15:21.167,,,0
05/20/26 17:15:38.985,,,0
05/20/26 17:15:56.740,,,500
05/20/26 17:16:14.508,,,2300
05/20/26 17:16:32.346,,,4800
05/20/26 17:16:50.165,,,7000
05/20/26 17:17:08.179,,,8600
05/20/26 17:17:26.129,,,10100
05/20/26 17:17:44.008,,,11700
05/20/26 17:18:01.994,,,13000
05/20/26 17:18:20.054,,,14300
05/20/26 17:18:38.174,,,15600
05/20/26 17:18:56.194,,,16800
05/20/26 17:19:14.371,,,17800
05/20/26 17:19:32.649,,,18800
05/20/26 17:19:50.786,,,19700
05/20/26 17:20:09.005,,,20600
05/20/26 17:20:25.783,,,21200
05/20/26 17:20:42.171,,,21900
05/20/26 17:20:58.462,,,22400
05/20/26 17:21:15.279,,,23300
05/20/26 17:21:33.583,,,24000
05/20/26 17:21:52.003,,,24900
05/20/26 17:22:10.419,,,25300
05/20/26 17:22:28.910,,,25800
05/20/26 17:22:47.287,,,26200
05/20/26 17:23:05.749,,,26800
05/20/26 17:23:24.225,,,27200
05/20/26 17:23:42.756,,,27500
05/20/26 17:24:01.386,,,28100
05/20/26 17:24:20.171,,,28700
05/20/26 17:24:38.925,,,29000
05/20/26 17:24:57.662,,,29300
05/20/26 17:25:15.769,,,30000
05/20/26 17:25:32.546,,,30200
05/20/26 17:25:49.240,,,30500
05/20/26 17:26:06.038,,,31100
05/20/26 17:26:22.973,,,31300
05/20/26 17:26:39.973,,,31700
05/20/26 17:26:56.960,,,31500
05/20/26 17:27:13.988,,,32300
05/20/26 17:27:31.149,,,32300
05/20/26 17:27:48.210,,,32800
05/20/26 17:28:05.457,,,32900
05/20/26 17:28:22.680,,,33100
05/20/26 17:28:39.800,,,33500
05/20/26 17:28:57.021,,,33500
