Time+F36B1A1:FA1:B1425,Concentration
05/22/26 11:00:01.460,400
05/22/26 11:00:06.465,400
05/22/26 11:00:11.459,400
05/22/26 11:00:16.455,400
05/22/26 11:00:21.465,400
05/22/26 11:00:26.457,400
05/22/26 11:00:31.458,300
05/22/26 11:00:36.465,400
05/22/26 11:00:41.463,300
05/22/26 11:00:46.455,300
05/22/26 11:00:51.461,400
05/22/26 11:00:56.457,300
05/22/26 11:01:01.462,300
05/22/26 11:01:06.457,400
05/22/26 11:01:11.456,400
05/22/26 11:01:16.458,300
05/22/26 11:01:21.456,300
05/22/26 11:01:26.463,300
05/22/26 11:01:31.465,300
05/22/26 11:01:36.458,300
05/22/26 11:01:41.465,300
05/22/26 11:01:46.466,300
05/22/26 11:01:51.465,300
05/22/26 11:01:56.465,300
05/22/26 11:02:01.465,300
05/22/26 11:02:06.465,300
05/22/26 11:02:11.466,300
05/22/26 11:02:16.466,300
05/22/26 11:02:21.465,400
05/22/26 11:02:26.466,300
05/22/26 11:02:31.466,300
05/22/26 11:02:36.466,300
05/22/26 11:02:41.466,300
05/22/26 11:02:46.465,400
05/22/26 11:02:51.466,400
05/22/26 11:02:56.466,400
05/22/26 11:03:01.496,400
05/22/26 11:03:06.499,400
05/22/26 11:03:11.466,400
05/22/26 11:03:16.466,400
05/22/26 11:03:21.466,400
05/22/26 11:03:26.466,400
05/22/26 11:03:31.466,400
05/22/26 11:03:36.466,400
05/22/26 11:03:41.466,400
05/22/26 11:03:46.466,300
05/22/26 11:03:51.466,400
05/22/26 11:03:56.550,400
05/22/26 11:04:01.653,400
05/22/26 11:04:06.687,400
05/22/26 11:04:11.721,400
05/22/26 11:04:16.582,400
05/22/26 11:04:21.558,300
05/22/26 11:04:26.635,300
05/22/26 11:04:31.657,400
05/22/26 11:04:36.649,400
05/22/26 11:04:41.736,300
05/22/26 11:04:46.804,300
05/22/26 11:04:51.928,300
05/22/26 11:04:56.974,300
05/22/26 11:05:01.994,400
05/22/26 11:05:07.023,400
05/22/26 11:05:11.997,400
05/22/26 11:05:17.015,300
05/22/26 11:05:22.015,400
05/22/26 11:05:27.107,400
05/22/26 11:05:32.221,400
05/22/26 11:05:37.314,400
