Time,,Concentration
05/22/26 11:42:30.001,,20
05/22/26 11:42:35.004,,30
05/22/26 11:42:40.002,,40
05/22/26 11:42:45.002,,40
05/22/26 11:42:50.003,,70
05/22/26 11:42:55.001,,70
05/22/26 11:43:00.004,,80
05/22/26 11:43:05.000,,50
05/22/26 11:43:10.002,,60
05/22/26 11:43:15.003,,50
05/22/26 11:43:20.002,,40
05/22/26 11:43:25.002,,60
05/22/26 11:43:30.003,,50
05/22/26 11:43:35.004,,40
05/22/26 11:43:40.004,,60
05/22/26 11:43:45.003,,40
05/22/26 11:43:50.001,,50
05/22/26 11:43:55.003,,60
05/22/26 11:44:00.004,,80
05/22/26 11:44:04.999,,50
05/22/26 11:44:10.004,,50
05/22/26 11:44:15.003,,60
05/22/26 11:44:20.004,,50
05/22/26 11:44:25.005,,80
05/22/26 11:44:30.004,,70
05/22/26 11:44:35.004,,60
05/22/26 11:44:40.004,,50
05/22/26 11:44:45.005,,50
05/22/26 11:44:50.005,,50
05/22/26 11:44:55.004,,40
05/22/26 11:45:00.004,,60
05/22/26 11:45:05.005,,50
05/22/26 11:45:10.005,,30
05/22/26 11:45:15.005,,40
05/22/26 11:45:20.005,,40
05/22/26 11:45:25.004,,30
05/22/26 11:45:30.005,,30
05/22/26 11:45:35.005,,50
05/22/26 11:45:40.005,,30
05/22/26 11:45:45.004,,40
05/22/26 11:45:50.005,,20
05/22/26 11:45:55.005,,10
05/22/26 11:46:00.005,,60
05/22/26 11:46:05.005,,180
05/22/26 11:46:10.005,,630
05/22/26 11:46:15.005,,1410
05/22/26 11:46:20.005,,2480
05/22/26 11:46:25.005,,3780
05/22/26 11:46:30.006,,5210
05/22/26 11:46:35.005,,6800
05/22/26 11:46:40.005,,8410
05/22/26 11:46:45.006,,10050
05/22/26 11:46:50.006,,11650
05/22/26 11:46:55.006,,13380
05/22/26 11:47:00.006,,14900
05/22/26 11:47:05.006,,16390
05/22/26 11:47:10.005,,17830
05/22/26 11:47:15.005,,19210
05/22/26 11:47:20.006,,20450
05/22/26 11:47:25.006,,21750
05/22/26 11:47:30.006,,22920
05/22/26 11:47:35.006,,24150
05/22/26 11:47:40.006,,25110
05/22/26 11:47:45.006,,26330
05/22/26 11:47:50.007,,27270
05/22/26 11:47:55.006,,28380
05/22/26 11:48:00.007,,29280
05/22/26 11:48:05.007,,30330
05/22/26 11:48:10.006,,31280
05/22/26 11:48:15.007,,32130
05/22/26 11:48:20.007,,33160
05/22/26 11:48:25.007,,33900
05/22/26 11:48:30.007,,34810
05/22/26 11:48:35.006,,35830
05/22/26 11:48:40.007,,36720
05/22/26 11:48:45.007,,37440
05/22/26 11:48:50.007,,38140
05/22/26 11:48:55.007,,38750
05/22/26 11:49:00.007,,39510
05/22/26 11:49:05.007,,40380
05/22/26 11:49:10.007,,40990
05/22/26 11:49:15.007,,41690
05/22/26 11:49:20.007,,42410
05/22/26 11:49:25.007,,43080
05/22/26 11:49:30.007,,43720
05/22/26 11:49:35.007,,44680
05/22/26 11:49:40.008,,44980
05/22/26 11:49:45.008,,45660
05/22/26 11:49:50.008,,46130
05/22/26 11:49:55.008,,46550
05/22/26 11:50:00.008,,47030
05/22/26 11:50:05.008,,47780
05/22/26 11:50:10.008,,48210
05/22/26 11:50:15.008,,48710
05/22/26 11:50:20.008,,49210
05/22/26 11:50:25.008,,49500
05/22/26 11:50:30.008,,50230
05/22/26 11:50:35.008,,50750
05/22/26 11:50:40.008,,51450
05/22/26 11:50:45.008,,51570
05/22/26 11:50:50.008,,52330
05/22/26 11:50:55.008,,52810
05/22/26 11:51:00.008,,53240
05/22/26 11:51:05.009,,53610
05/22/26 11:51:10.008,,53900
05/22/26 11:51:15.008,,54530
05/22/26 11:51:20.008,,54650
05/22/26 11:51:25.009,,55220
05/22/26 11:51:30.008,,55660
05/22/26 11:51:35.008,,56050
05/22/26 11:51:40.008,,56370
05/22/26 11:51:45.009,,57090
05/22/26 11:51:50.009,,57160
05/22/26 11:51:55.009,,57690
05/22/26 11:52:00.009,,58280
05/22/26 11:52:05.009,,58490
05/22/26 11:52:10.009,,58490
05/22/26 11:52:15.009,,59100
05/22/26 11:52:20.010,,59510
05/22/26 11:52:25.009,,60120
05/22/26 11:52:30.010,,60260
05/22/26 11:52:35.009,,60900
05/22/26 11:52:40.010,,61330
05/22/26 11:52:45.010,,61120
05/22/26 11:52:50.010,,61470
05/22/26 11:52:55.010,,61900
05/22/26 11:53:00.009,,62330
05/22/26 11:53:05.009,,62540
05/22/26 11:53:10.009,,62470
05/22/26 11:53:15.010,,62610
05/22/26 11:53:20.009,,63060
05/22/26 11:53:25.009,,63280
05/22/26 11:53:30.009,,64020
05/22/26 11:53:35.010,,64320
05/22/26 11:53:40.011,,64240
05/22/26 11:53:45.010,,64390
05/22/26 11:53:50.010,,64470
05/22/26 11:53:55.011,,64760
05/22/26 11:54:00.011,,65140
05/22/26 11:54:05.010,,65300
05/22/26 11:54:10.010,,65840
05/22/26 11:54:15.011,,65840
05/22/26 11:54:20.011,,66380
05/22/26 11:54:25.010,,66230
05/22/26 11:54:30.011,,66460
05/22/26 11:54:35.010,,66930
05/22/26 11:54:40.011,,67240
05/22/26 11:54:45.010,,67470
05/22/26 11:54:50.011,,67390
05/22/26 11:54:55.010,,68120
05/22/26 11:55:00.011,,68200
05/22/26 11:55:05.011,,68360
05/22/26 11:55:10.011,,68530
05/22/26 11:55:15.011,,68850
05/22/26 11:55:20.011,,69420
05/22/26 11:55:25.011,,69420
05/22/26 11:55:30.012,,69500
05/22/26 11:55:35.011,,69340
05/22/26 11:55:40.011,,69250
05/22/26 11:55:45.012,,69820
05/22/26 11:55:50.011,,70820
05/22/26 11:55:55.012,,70650
05/22/26 11:56:00.012,,70400
05/22/26 11:56:05.012,,70400
05/22/26 11:56:10.012,,70900
05/22/26 11:56:15.011,,70990
05/22/26 11:56:20.012,,71330
05/22/26 11:56:25.012,,71490
05/22/26 11:56:30.012,,71660
05/22/26 11:56:35.012,,71750
05/22/26 11:56:40.012,,72080
05/22/26 11:56:45.012,,72500
05/22/26 11:56:50.012,,72590
05/22/26 11:56:55.012,,72590
05/22/26 11:57:00.013,,72760
05/22/26 11:57:05.013,,73200
05/22/26 11:57:10.012,,72760
05/22/26 11:57:15.012,,72850
05/22/26 11:57:20.013,,73290
05/22/26 11:57:25.013,,73200
05/22/26 11:57:30.012,,73020
05/22/26 11:57:35.013,,73640
05/22/26 11:57:40.013,,74000
05/22/26 11:57:45.013,,74090
05/22/26 11:57:50.013,,74440
05/22/26 11:57:55.013,,74170
05/22/26 11:58:00.013,,74350
05/22/26 11:58:05.013,,74260
05/22/26 11:58:10.013,,74700
05/22/26 11:58:15.013,,74530
05/22/26 11:58:20.013,,74970
05/22/26 11:58:25.014,,74790
05/22/26 11:58:30.014,,74970
05/22/26 11:58:35.014,,74790
05/22/26 11:58:40.013,,75320
05/22/26 11:58:45.013,,75690
05/22/26 11:58:50.013,,75500
05/22/26 11:58:55.014,,75410
05/22/26 11:59:00.013,,75690
05/22/26 11:59:05.005,,75320
05/22/26 11:59:10.008,,75590
05/22/26 11:59:15.013,,75690
05/22/26 11:59:20.009,,75970
05/22/26 11:59:25.009,,76430
05/22/26 11:59:30.013,,76430
05/22/26 11:59:35.002,,76520
05/22/26 11:59:40.011,,76990
05/22/26 11:59:45.013,,77170
05/22/26 11:59:50.013,,76990
05/22/26 11:59:55.012,,77350
05/22/26 12:00:00.012,,77080
05/22/26 12:00:05.007,,77540
05/22/26 12:00:10.008,,78000
05/22/26 12:00:15.001,,77630
05/22/26 12:00:20.013,,78090
05/22/26 12:00:25.014,,77910
05/22/26 12:00:30.012,,78180
05/22/26 12:00:35.010,,78280
05/22/26 12:00:40.012,,78090
05/22/26 12:00:45.005,,78460
05/22/26 12:00:50.005,,78180
05/22/26 12:00:55.002,,78180
05/22/26 12:01:00.015,,78370
05/22/26 12:01:05.014,,78650
05/22/26 12:01:10.011,,78750
05/22/26 12:01:15.006,,78560
05/22/26 12:01:20.004,,78650
