,sensor [Auto],,,,,,
,CO2,Pressure,Temperature,Humidity,TC-Pressure,TC-Humidity,TC-Temperature
07/17/26 14:16:01.201,,1017,,,,,
07/17/26 14:16:01.425,,,26.8,,,,
07/17/26 14:16:01.675,,,,61.4,,,
07/17/26 14:16:01.909,,,,,1007,,
07/17/26 14:16:02.156,,,,,,75,
07/17/26 14:16:02.388,,,,,,,23.5
07/17/26 14:17:46.594,700,1017,26.8,61.6,1007,75,23.5
07/17/26 14:17:51.592,600,1017,26.8,61.7,1007,75,23.5
07/17/26 14:17:56.593,600,1017,26.7,61.7,1007,75,23.5
07/17/26 14:18:01.592,600,1017,26.8,61.7,1007,75,23.5
07/17/26 14:18:06.593,600,1017,26.7,61.7,1007,75,23.5
07/17/26 14:18:11.593,600,1017,26.7,61.7,1007,75,23.5
07/17/26 14:18:16.593,600,1017,26.7,61.7,1007,75,23.5
07/17/26 14:18:21.593,600,1017,26.7,61.7,1007,75,23.5
07/17/26 14:18:26.592,600,1017,26.7,61.7,1007,75,23.5
07/17/26 14:18:31.593,600,1017,26.7,61.7,1007,75,23.5
07/17/26 14:18:36.593,600,1017,26.7,61.7,1007,75,23.5
07/17/26 14:18:41.593,1100,1017,26.7,61.7,1007,75,23.5
07/17/26 14:18:46.592,4800,1017,26.7,61.8,1007,75,23.5
07/17/26 14:18:51.592,6900,1017,26.8,61.8,1007,75,23.5
07/17/26 14:18:56.593,6300,1017,26.7,61.8,1007,75,23.5
07/17/26 14:19:01.592,4600,1017,26.8,61.8,1007,75,23.5
07/17/26 14:19:06.593,2700,1017,26.8,61.7,1007,75,23.5
07/17/26 14:19:11.593,1400,1017,26.8,61.8,1007,75,23.5
07/17/26 14:19:16.592,700,1017,26.8,61.8,1007,75,23.5
07/17/26 14:19:21.592,400,1017,26.7,61.8,1007,75,23.5
07/17/26 14:19:26.593,0,1017,26.8,61.8,1007,75,23.5
07/17/26 14:19:31.593,0,1017,26.8,61.8,1007,75,23.5
07/17/26 14:19:36.592,0,1017,26.8,61.8,1007,75,23.5
07/17/26 14:19:41.593,0,1017,26.8,61.8,1007,75,23.5
07/17/26 14:19:46.592,0,1017,26.8,61.8,1007,75,23.5
