,sensor [Auto],,,
,CO2,Pressure,Temperature,Humidity
07/17/26 14:15:27.871,,1015,,
07/17/26 14:15:28.123,,,26.5,
07/17/26 14:15:28.371,,,,43.8
07/17/26 14:17:04.275,110,1015,26.5,43.8
07/17/26 14:17:09.347,100,1015,26.5,43.7
07/17/26 14:17:14.270,80,1015,26.5,43.7
07/17/26 14:17:19.269,50,1015,26.5,43.8
07/17/26 14:17:24.269,40,1015,26.5,43.8
07/17/26 14:17:29.270,30,1015,26.5,43.8
07/17/26 14:17:34.270,0,1015,26.5,43.8
07/17/26 14:17:39.270,0,1015,26.5,43.9
07/17/26 14:17:44.270,30,1015,26.5,44
07/17/26 14:17:49.270,30,1015,26.5,43.9
07/17/26 14:17:54.271,10,1015,26.5,43.9
07/17/26 14:17:59.270,10,1015,26.5,43.8
07/17/26 14:18:04.270,0,1015,26.5,43.8
07/17/26 14:18:09.270,0,1015,26.5,43.8
07/17/26 14:18:14.270,10,1015,26.5,43.8
07/17/26 14:18:19.270,10,1015,26.5,43.8
07/17/26 14:18:24.271,10,1015,26.5,43.8
07/17/26 14:18:29.271,0,1015,26.5,43.8
07/17/26 14:18:34.270,0,1015,26.5,43.8
07/17/26 14:18:39.270,0,1015,26.5,43.9
07/17/26 14:18:44.271,0,1015,26.5,43.9
07/17/26 14:18:49.270,0,1015,26.5,43.8
07/17/26 14:18:54.270,0,1015,26.5,43.8
07/17/26 14:18:59.271,0,1015,26.5,43.8
07/17/26 14:19:04.271,0,1015,26.5,43.8
07/17/26 14:19:09.271,0,1015,26.5,43.9
07/17/26 14:19:14.271,0,1015,26.5,43.9
07/17/26 14:19:19.271,0,1015,26.5,43.9
07/17/26 14:19:24.271,0,1015,26.5,44
07/17/26 14:19:29.271,0,1015,26.5,43.9
07/17/26 14:19:34.271,0,1015,26.5,44
07/17/26 14:19:39.271,0,1015,26.5,44
07/17/26 14:19:44.271,0,1015,26.5,43.9
07/17/26 14:19:49.271,0,1015,26.5,43.9
07/17/26 14:19:54.271,0,1015,26.5,43.9
07/17/26 14:19:59.271,0,1015,26.5,43.8
07/17/26 14:20:04.271,0,1015,26.6,43.7
07/17/26 14:20:09.271,0,1015,26.6,43.7
07/17/26 14:20:14.271,0,1015,26.6,43.7
07/17/26 14:20:19.271,0,1015,26.6,43.6
07/17/26 14:20:24.271,0,1015,26.6,43.6
07/17/26 14:20:29.272,0,1015,26.6,43.6
07/17/26 14:20:34.272,0,1015,26.6,43.6
07/17/26 14:20:39.271,0,1015,26.6,43.6
07/17/26 14:20:44.272,0,1015,26.6,43.7
07/17/26 14:20:49.272,0,1015,26.6,43.7
07/17/26 14:20:54.271,0,1015,26.6,43.7
07/17/26 14:20:59.271,0,1015,26.6,43.7
07/17/26 14:21:04.272,0,1015,26.6,43.8
07/17/26 14:21:09.272,0,1015,26.6,43.8
07/17/26 14:21:14.271,0,1015,26.5,43.8
07/17/26 14:21:19.273,0,1015,26.5,43.8
07/17/26 14:21:24.272,0,1015,26.6,43.8
07/17/26 14:21:29.272,0,1015,26.6,43.8
07/17/26 14:21:34.272,0,1015,26.6,43.7
07/17/26 14:21:39.272,0,1015,26.6,43.7
07/17/26 14:21:44.272,0,1015,26.6,43.7
07/17/26 14:21:49.273,0,1015,26.6,43.8
07/17/26 14:21:54.272,0,1015,26.5,43.8
07/17/26 14:21:59.272,0,1015,26.5,43.9
